Velocity,Intensity
-4.94e+02,1.75e-02
-4.93e+02,3.75e-02
-4.92e+02,-3.75e-02
-4.91e+02,-7.50e-03
-4.91e+02,1.25e-02
-4.90e+02,-5.00e-03
-4.89e+02,-6.00e-02
-4.88e+02,5.50e-02
-4.87e+02,0.00e+00
-4.86e+02,5.25e-02
-4.86e+02,2.25e-02
-4.85e+02,1.15e-01
-4.84e+02,4.25e-02
-4.83e+02,-3.00e-02
-4.82e+02,0.00e+00
-4.82e+02,-2.75e-02
-4.81e+02,-6.50e-02
-4.80e+02,-1.50e-02
-4.79e+02,5.00e-03
-4.78e+02,-2.75e-02
-4.77e+02,7.75e-02
-4.77e+02,-7.25e-02
-4.76e+02,-5.75e-02
-4.75e+02,-4.25e-02
-4.74e+02,4.50e-02
-4.73e+02,-2.75e-02
-4.73e+02,-3.25e-02
-4.72e+02,-3.50e-02
-4.71e+02,5.00e-02
-4.70e+02,2.00e-02
-4.69e+02,-3.50e-02
-4.68e+02,-2.00e-02
-4.68e+02,-1.35e-01
-4.67e+02,-5.00e-03
-4.66e+02,2.25e-02
-4.65e+02,1.50e-02
-4.64e+02,-3.25e-02
-4.63e+02,4.25e-02
-4.63e+02,-2.00e-02
-4.62e+02,5.00e-03
-4.61e+02,7.50e-03
-4.60e+02,-7.75e-02
-4.59e+02,-2.75e-02
-4.59e+02,4.25e-02
-4.58e+02,5.75e-02
-4.57e+02,-3.00e-02
-4.56e+02,3.50e-02
-4.55e+02,-1.25e-02
-4.54e+02,2.50e-03
-4.54e+02,-6.75e-02
-4.53e+02,-1.75e-02
-4.52e+02,2.00e-02
-4.51e+02,6.25e-02
-4.50e+02,-3.00e-02
-4.50e+02,-3.00e-02
-4.49e+02,2.75e-02
-4.48e+02,2.25e-02
-4.47e+02,-2.49e-03
-4.46e+02,2.25e-02
-4.45e+02,6.75e-02
-4.45e+02,-1.50e-02
-4.44e+02,5.00e-02
-4.43e+02,-4.00e-02
-4.42e+02,-5.25e-02
-4.41e+02,2.75e-02
-4.40e+02,2.50e-03
-4.40e+02,-2.00e-02
-4.39e+02,2.75e-02
-4.38e+02,5.25e-02
-4.37e+02,-6.00e-02
-4.36e+02,2.75e-02
-4.36e+02,-5.00e-02
-4.35e+02,-1.50e-02
-4.34e+02,3.25e-02
-4.33e+02,-2.75e-02
-4.32e+02,-6.50e-02
-4.31e+02,-7.75e-02
-4.31e+02,-5.25e-02
-4.30e+02,2.25e-02
-4.29e+02,-6.25e-02
-4.28e+02,7.00e-02
-4.27e+02,4.25e-02
-4.26e+02,1.00e-01
-4.26e+02,7.50e-03
-4.25e+02,2.50e-02
-4.24e+02,-5.00e-03
-4.23e+02,1.50e-02
-4.22e+02,-1.75e-02
-4.22e+02,-2.00e-02
-4.21e+02,5.00e-03
-4.20e+02,5.25e-02
-4.19e+02,-1.00e-02
-4.18e+02,-1.00e-02
-4.17e+02,4.50e-02
-4.17e+02,6.50e-02
-4.16e+02,-1.75e-02
-4.15e+02,4.75e-02
-4.14e+02,0.00e+00
-4.13e+02,-3.75e-02
-4.13e+02,-4.00e-02
-4.12e+02,5.00e-03
-4.11e+02,-7.50e-03
-4.10e+02,-4.50e-02
-4.09e+02,1.25e-02
-4.08e+02,2.75e-02
-4.08e+02,2.50e-03
-4.07e+02,-2.75e-02
-4.06e+02,7.00e-02
-4.05e+02,9.25e-02
-4.04e+02,-8.50e-02
-4.03e+02,2.25e-02
-4.03e+02,-7.25e-02
-4.02e+02,4.50e-02
-4.01e+02,6.25e-02
-4.00e+02,5.75e-02
-3.99e+02,6.00e-02
-3.99e+02,-7.50e-03
-3.98e+02,1.50e-02
-3.97e+02,1.75e-02
