Entity,Code,Year,Annual CO2 emissions (per capita)
Afghanistan,AFG,1949,0.0019
Afghanistan,AFG,1950,0.0109
Afghanistan,AFG,1951,0.0117
Afghanistan,AFG,1952,0.0115
Afghanistan,AFG,1953,0.0132
Afghanistan,AFG,1954,0.013
Afghanistan,AFG,1955,0.0186
Afghanistan,AFG,1956,0.0218
Afghanistan,AFG,1957,0.0343
Afghanistan,AFG,1958,0.038
Afghanistan,AFG,1959,0.0435
Afghanistan,AFG,1960,0.046
Afghanistan,AFG,1961,0.0535
Afghanistan,AFG,1962,0.0736
Afghanistan,AFG,1963,0.0741
Afghanistan,AFG,1964,0.0861
Afghanistan,AFG,1965,0.1011
Afghanistan,AFG,1966,0.1072
Afghanistan,AFG,1967,0.1233
Afghanistan,AFG,1968,0.115
Afghanistan,AFG,1969,0.0864
Afghanistan,AFG,1970,0.1495
Afghanistan,AFG,1971,0.165
Afghanistan,AFG,1972,0.1298
Afghanistan,AFG,1973,0.1351
Afghanistan,AFG,1974,0.1541
Afghanistan,AFG,1975,0.1672
Afghanistan,AFG,1976,0.153
Afghanistan,AFG,1977,0.181
Afghanistan,AFG,1978,0.1614
Afghanistan,AFG,1979,0.1665
Afghanistan,AFG,1980,0.1315
Afghanistan,AFG,1981,0.1502
Afghanistan,AFG,1982,0.1626
Afghanistan,AFG,1983,0.201
Afghanistan,AFG,1984,0.2312
Afghanistan,AFG,1985,0.2933
Afghanistan,AFG,1986,0.267
Afghanistan,AFG,1987,0.2683
Afghanistan,AFG,1988,0.2459
Afghanistan,AFG,1989,0.233
Afghanistan,AFG,1990,0.2097
Afghanistan,AFG,1991,0.1825
Afghanistan,AFG,1992,0.0952
Afghanistan,AFG,1993,0.0843
Afghanistan,AFG,1994,0.0751
Afghanistan,AFG,1995,0.0679
Afghanistan,AFG,1996,0.0618
Afghanistan,AFG,1997,0.056
Afghanistan,AFG,1998,0.0521
Afghanistan,AFG,1999,0.0401
Afghanistan,AFG,2000,0.0365
Afghanistan,AFG,2001,0.0369
Afghanistan,AFG,2002,0.0465
Afghanistan,AFG,2003,0.0501
Afghanistan,AFG,2004,0.036
Afghanistan,AFG,2005,0.0508
Afghanistan,AFG,2006,0.0619
Afghanistan,AFG,2007,0.0837
Afghanistan,AFG,2008,0.1515
Afghanistan,AFG,2009,0.2374
Afghanistan,AFG,2010,0.2877
Afghanistan,AFG,2011,0.402
Afghanistan,AFG,2012,0.3279
Afghanistan,AFG,2013,0.2616
Afghanistan,AFG,2014,0.233
Afghanistan,AFG,2015,0.2297
Afghanistan,AFG,2016,0.1906
Afghanistan,AFG,2017,0.189
Afghanistan,AFG,2018,0.2245
Afghanistan,AFG,2019,0.3193
Afghanistan,AFG,2020,0.3124
Africa,,1884,0.005
Africa,,1885,0.0082
Africa,,1886,0.0105
Africa,,1887,0.0104
Africa,,1888,0.0174
Africa,,1889,0.0281
Africa,,1890,0.0625
Africa,,1891,0.0618
Africa,,1892,0.0988
Africa,,1893,0.3663
Africa,,1894,0.4897
Africa,,1895,0.6643
Africa,,1896,0.8378
Africa,,1897,0.9295
Africa,,1898,1.1636
Africa,,1899,1.0481
Africa,,1900,0.4365
Africa,,1901,0.7213
Africa,,1902,1.0574
Africa,,1903,1.1687
Africa,,1904,1.2962
Africa,,1905,1.4672
Africa,,1906,1.6463
Africa,,1907,1.7854
Africa,,1908,1.8188
Africa,,1909,2.0523
Africa,,1910,2.2834
Africa,,1911,0.8919
Africa,,1912,0.9369
Africa,,1913,1.0099
Africa,,1914,0.9941
Africa,,1915,0.4661
Africa,,1916,0.4609
Africa,,1917,0.4969
Africa,,1918,0.4798
Africa,,1919,0.5111
Africa,,1920,0.4611
Africa,,1921,0.4545
Africa,,1922,0.3994
Africa,,1923,0.4768
Africa,,1924,0.4955
Africa,,1925,0.513
Africa,,1926,0.5408
Africa,,1927,0.492
Africa,,1928,0.4568
Africa,,1929,0.4635
Africa,,1930,0.4298
Africa,,1931,0.3702
Africa,,1932,0.3294
Africa,,1933,0.3241
Africa,,1934,0.3645
Africa,,1935,0.3961
Africa,,1936,0.4391
Africa,,1937,0.4637
Africa,,1938,0.4802
Africa,,1939,0.4992
Africa,,1940,0.5202
Africa,,1941,0.4698
Africa,,1942,0.5038
Africa,,1943,0.5068
Africa,,1944,0.6493
Africa,,1945,0.628
Africa,,1946,0.6445
Africa,,1947,0.6086
Africa,,1948,0.545
Africa,,1949,0.5773
Africa,,1950,0.4736
Africa,,1951,0.4957
Africa,,1952,0.5293
Africa,,1953,0.5271
Africa,,1954,0.5406
Africa,,1955,0.5828
Africa,,1956,0.5939
Africa,,1957,0.6083
Africa,,1958,0.5804
Africa,,1959,0.5403
Africa,,1960,0.5589
Africa,,1961,0.5646
Africa,,1962,0.5666
Africa,,1963,0.5861
Africa,,1964,0.6272
Africa,,1965,0.675
Africa,,1966,0.6814
Africa,,1967,0.7124
Africa,,1968,0.7541
Africa,,1969,0.7938
Africa,,1970,0.8426
Africa,,1971,0.9003
Africa,,1972,0.9284
Africa,,1973,0.9716
Africa,,1974,0.9722
Africa,,1975,0.9438
Africa,,1976,0.9966
Africa,,1977,0.9995
Africa,,1978,1.038
Africa,,1979,1.0894
Africa,,1980,1.1366
Africa,,1981,1.1315
Africa,,1982,1.1465
Africa,,1983,1.159
Africa,,1984,1.2304
Africa,,1985,1.2263
Africa,,1986,1.2352
Africa,,1987,1.2011
Africa,,1988,1.2277
Africa,,1989,1.1502
Africa,,1990,1.0524
Africa,,1991,1.0685
Africa,,1992,1.0101
Africa,,1993,1.0434
Africa,,1994,1.0292
Africa,,1995,1.0767
Africa,,1996,1.0655
Africa,,1997,1.0789
Africa,,1998,1.0853
Africa,,1999,1.0495
Africa,,2000,1.0936
Africa,,2001,1.0645
Africa,,2002,1.0489
Africa,,2003,1.1094
Africa,,2004,1.1603
Africa,,2005,1.1547
Africa,,2006,1.1613
Africa,,2007,1.1763
Africa,,2008,1.1968
Africa,,2009,1.1762
Africa,,2010,1.1725
Africa,,2011,1.1809
Africa,,2012,1.1456
Africa,,2013,1.1227
Africa,,2014,1.1837
Africa,,2015,1.1191
Africa,,2016,1.1189
Africa,,2017,1.1131
Africa,,2018,1.0865
Africa,,2019,1.0772
Africa,,2020,0.9896
Albania,ALB,1933,0.0071
Albania,ALB,1934,0.007
Albania,ALB,1935,0.0174
Albania,ALB,1936,0.1205
Albania,ALB,1937,0.276
Albania,ALB,1938,0.3204
Albania,ALB,1939,0.3938
Albania,ALB,1940,0.6238
Albania,ALB,1941,0.558
Albania,ALB,1942,0.6548
Albania,ALB,1943,0.4015
Albania,ALB,1944,0.1322
Albania,ALB,1945,0.1027
Albania,ALB,1946,0.4057
Albania,ALB,1947,0.7684
Albania,ALB,1948,0.5761
Albania,ALB,1949,0.8186
Albania,ALB,1950,0.235
Albania,ALB,1951,0.313
Albania,ALB,1952,0.284
Albania,ALB,1953,0.3071
Albania,ALB,1954,0.363
Albania,ALB,1955,0.467
Albania,ALB,1956,0.575
Albania,ALB,1957,1.0038
Albania,ALB,1958,0.7787
Albania,ALB,1959,0.9088
Albania,ALB,1960,1.2362
Albania,ALB,1961,1.3518
Albania,ALB,1962,1.417
Albania,ALB,1963,1.1623
Albania,ALB,1964,1.093
Albania,ALB,1965,1.1459
Albania,ALB,1966,1.3092
Albania,ALB,1967,1.34
Albania,ALB,1968,1.4983
Albania,ALB,1969,1.5443
Albania,ALB,1970,1.7394
Albania,ALB,1971,1.9749
Albania,ALB,1972,2.5017
Albania,ALB,1973,2.2925
Albania,ALB,1974,1.8407
Albania,ALB,1975,1.9036
Albania,ALB,1976,2.0067
Albania,ALB,1977,2.2694
Albania,ALB,1978,2.5221
Albania,ALB,1979,2.8852
Albania,ALB,1980,1.9258
Albania,ALB,1981,2.68
Albania,ALB,1982,2.6171
Albania,ALB,1983,2.6802
Albania,ALB,1984,2.6924
Albania,ALB,1985,2.6515
Albania,ALB,1986,2.6443
Albania,ALB,1987,2.3802
Albania,ALB,1988,2.287
Albania,ALB,1989,2.7554
Albania,ALB,1990,1.6569
Albania,ALB,1991,1.2889
Albania,ALB,1992,0.7687
Albania,ALB,1993,0.7247
Albania,ALB,1994,0.6078
Albania,ALB,1995,0.6638
Albania,ALB,1996,0.6432
Albania,ALB,1997,0.4941
Albania,ALB,1998,0.5607
Albania,ALB,1999,0.9528
Albania,ALB,2000,0.9601
Albania,ALB,2001,1.0291
Albania,ALB,2002,1.199
Albania,ALB,2003,1.3572
Albania,ALB,2004,1.3217
Albania,ALB,2005,1.3603
Albania,ALB,2006,1.2548
Albania,ALB,2007,1.262
Albania,ALB,2008,1.4228
Albania,ALB,2009,1.4308
Albania,ALB,2010,1.5088
Albania,ALB,2011,1.7178
Albania,ALB,2012,1.6018
Albania,ALB,2013,1.6971
Albania,ALB,2014,1.9406
Albania,ALB,2015,1.5553
Albania,ALB,2016,1.5563
Albania,ALB,2017,1.8382
Albania,ALB,2018,1.6422
Albania,ALB,2019,1.6882
Albania,ALB,2020,1.5757
Algeria,DZA,1916,0.0007
Algeria,DZA,1917,0.0013
Algeria,DZA,1918,0.0032
Algeria,DZA,1919,0.0032
Algeria,DZA,1920,0.0038
Algeria,DZA,1921,0.0044
Algeria,DZA,1922,0.0044
Algeria,DZA,1923,0.0025
Algeria,DZA,1924,0.0049
Algeria,DZA,1925,0.0054
Algeria,DZA,1926,0.0066
Algeria,DZA,1927,0.0095
Algeria,DZA,1928,0.0117
Algeria,DZA,1929,0.0127
Algeria,DZA,1930,0.0131
Algeria,DZA,1931,0.0151
Algeria,DZA,1932,0.0171
Algeria,DZA,1933,0.0179
Algeria,DZA,1934,0.0202
Algeria,DZA,1935,0.0188
Algeria,DZA,1936,0.0072
Algeria,DZA,1937,0.0096
Algeria,DZA,1938,0.0045
Algeria,DZA,1939,0.0215
Algeria,DZA,1940,0.0313
Algeria,DZA,1941,0.0403
Algeria,DZA,1942,0.0634
Algeria,DZA,1943,0.0588
Algeria,DZA,1944,0.0615
Algeria,DZA,1945,0.0749
Algeria,DZA,1946,0.0913
Algeria,DZA,1947,0.0878
Algeria,DZA,1948,0.0933
Algeria,DZA,1949,0.1041
Algeria,DZA,1950,0.4265
Algeria,DZA,1951,0.4578
Algeria,DZA,1952,0.4234
Algeria,DZA,1953,0.427
Algeria,DZA,1954,0.4343
Algeria,DZA,1955,0.4713
Algeria,DZA,1956,0.4992
Algeria,DZA,1957,0.54
Algeria,DZA,1958,0.4959
Algeria,DZA,1959,0.5246
Algeria,DZA,1960,0.5563
Algeria,DZA,1961,0.5342
Algeria,DZA,1962,0.4872
Algeria,DZA,1963,0.4549
Algeria,DZA,1964,0.4617
Algeria,DZA,1965,0.5249
Algeria,DZA,1966,0.6526
Algeria,DZA,1967,0.6351
Algeria,DZA,1968,0.6624
Algeria,DZA,1969,0.801
Algeria,DZA,1970,1.0411
Algeria,DZA,1971,1.254
Algeria,DZA,1972,1.8528
Algeria,DZA,1973,2.4365
Algeria,DZA,1974,1.9739
Algeria,DZA,1975,1.9269
Algeria,DZA,1976,2.2903
Algeria,DZA,1977,2.3799
Algeria,DZA,1978,3.4501
Algeria,DZA,1979,2.4424
Algeria,DZA,1980,3.4553
Algeria,DZA,1981,2.3376
Algeria,DZA,1982,1.9153
Algeria,DZA,1983,2.4881
Algeria,DZA,1984,3.2599
Algeria,DZA,1985,3.2369
Algeria,DZA,1986,3.2932
Algeria,DZA,1987,3.5283
Algeria,DZA,1988,3.4246
Algeria,DZA,1989,3.1788
Algeria,DZA,1990,2.9791
Algeria,DZA,1991,2.9851
Algeria,DZA,1992,2.9555
Algeria,DZA,1993,2.9652
Algeria,DZA,1994,3.0534
Algeria,DZA,1995,3.3028
Algeria,DZA,1996,3.3071
Algeria,DZA,1997,2.9252
Algeria,DZA,1998,3.5313
Algeria,DZA,1999,2.9934
Algeria,DZA,2000,2.6487
Algeria,DZA,2001,2.6638
Algeria,DZA,2002,2.8067
Algeria,DZA,2003,2.822
Algeria,DZA,2004,2.6873
Algeria,DZA,2005,3.2119
Algeria,DZA,2006,2.9786
Algeria,DZA,2007,3.1727
Algeria,DZA,2008,3.1394
Algeria,DZA,2009,3.4014
Algeria,DZA,2010,3.2746
Algeria,DZA,2011,3.2679
Algeria,DZA,2012,3.4269
Algeria,DZA,2013,3.4723
Algeria,DZA,2014,3.6617
Algeria,DZA,2015,3.7677
Algeria,DZA,2016,3.6726
Algeria,DZA,2017,3.7434
Algeria,DZA,2018,3.8241
Algeria,DZA,2019,3.8706
Algeria,DZA,2020,3.5346
Andorra,AND,1990,7.4614
Andorra,AND,1991,7.1772
Andorra,AND,1992,6.9071
Andorra,AND,1993,6.7302
Andorra,AND,1994,6.489
Andorra,AND,1995,6.6556
Andorra,AND,1996,7.059
Andorra,AND,1997,7.2348
Andorra,AND,1998,7.6548
Andorra,AND,1999,7.9693
Andorra,AND,2000,8.0127
Andorra,AND,2001,7.7802
Andorra,AND,2002,7.5845
Andorra,AND,2003,7.31
Andorra,AND,2004,7.352
Andorra,AND,2005,7.2935
Andorra,AND,2006,6.7404
Andorra,AND,2007,6.5142
Andorra,AND,2008,6.4227
Andorra,AND,2009,6.1167
Andorra,AND,2010,6.1172
Andorra,AND,2011,5.8625
Andorra,AND,2012,5.912
Andorra,AND,2013,5.8972
Andorra,AND,2014,5.8281
Andorra,AND,2015,5.9663
Andorra,AND,2016,6.0676
Andorra,AND,2017,6.0435
Andorra,AND,2018,6.4232
Andorra,AND,2019,6.5052
Andorra,AND,2020,6.035
Angola,AGO,1950,0.0411
Angola,AGO,1951,0.054
Angola,AGO,1952,0.0661
Angola,AGO,1953,0.0569
Angola,AGO,1954,0.0705
Angola,AGO,1955,0.082
Angola,AGO,1956,0.0976
Angola,AGO,1957,0.1183
Angola,AGO,1958,0.1117
Angola,AGO,1959,0.115
Angola,AGO,1960,0.1006
Angola,AGO,1961,0.082
Angola,AGO,1962,0.2102
Angola,AGO,1963,0.2024
Angola,AGO,1964,0.2132
Angola,AGO,1965,0.2056
Angola,AGO,1966,0.2685
Angola,AGO,1967,0.1718
Angola,AGO,1968,0.2892
Angola,AGO,1969,0.4795
Angola,AGO,1970,0.6074
Angola,AGO,1971,0.5637
Angola,AGO,1972,0.7202
Angola,AGO,1973,0.7501
Angola,AGO,1974,0.7197
Angola,AGO,1975,0.6277
Angola,AGO,1976,0.4506
Angola,AGO,1977,0.4682
Angola,AGO,1978,0.6931
Angola,AGO,1979,0.6812
Angola,AGO,1980,0.6395
Angola,AGO,1981,0.6095
Angola,AGO,1982,0.5177
Angola,AGO,1983,0.5497
Angola,AGO,1984,0.5186
Angola,AGO,1985,0.4694
Angola,AGO,1986,0.449
Angola,AGO,1987,0.5413
Angola,AGO,1988,0.4562
Angola,AGO,1989,0.4298
Angola,AGO,1990,0.4296
Angola,AGO,1991,0.4134
Angola,AGO,1992,0.408
Angola,AGO,1993,0.4396
Angola,AGO,1994,0.2862
Angola,AGO,1995,0.7851
Angola,AGO,1996,0.7239
Angola,AGO,1997,0.4941
Angola,AGO,1998,0.4732
Angola,AGO,1999,0.5754
Angola,AGO,2000,0.5804
Angola,AGO,2001,0.5707
