Date,Time (hh:mm:ss),Latitude,Longitude,Heading (degrees),Flight Speed (Km/h),Altitude (meters),Temperature (celsius),Pressure (pascals)
22/06/2015,09:13:00,54.08835,-2.16287,0,0,380,7.7,96618
22/06/2015,09:13:06,54.08835,-2.16287,0,0,380,7.7,96623
22/06/2015,09:13:12,54.08835,-2.16287,0,0,380,7.7,96613
22/06/2015,09:13:18,54.08835,-2.16287,0,0,380,7.7,96629
22/06/2015,09:13:24,54.08835,-2.16287,0,0,380,7.7,96619
22/06/2015,09:13:30,54.08835,-2.16287,0,0,380,7.7,96622
22/06/2015,09:13:36,54.08835,-2.16287,0,0,380,7.6,96617
22/06/2015,09:13:42,54.08835,-2.16287,0,0,380,7.6,96623
22/06/2015,09:13:48,54.08822,-2.1626,136,33,383,7.6,96512
22/06/2015,09:13:54,54.08805,-2.16215,125,27,399,7.4,96318
22/06/2015,09:14:00,54.08784,-2.16162,130,29,414,7.3,96157
22/06/2015,09:14:06,54.08758,-2.16116,140,22,437,7.1,95873
22/06/2015,09:14:12,54.08746,-2.16075,103,16,460,7,95636
22/06/2015,09:14:18,54.08728,-2.16029,121,11,481,6.9,95394
22/06/2015,09:14:24,54.08711,-2.15976,108,25,501,6.8,95166
22/06/2015,09:14:30,54.08703,-2.15933,117,20,513,6.6,95065
22/06/2015,09:14:36,54.08685,-2.15895,130,24,529,6.5,94881
22/06/2015,09:14:42,54.08666,-2.15856,112,27,540,6.5,94727
22/06/2015,09:14:48,54.08652,-2.15793,103,27,552,6.3,94633
22/06/2015,09:14:54,54.08641,-2.15737,108,22,566,6.3,94456
22/06/2015,09:15:00,54.08622,-2.15679,119,22,584,6.1,94261
22/06/2015,09:15:06,54.08608,-2.1563,148,27,598,6,94121
22/06/2015,09:15:12,54.08578,-2.15574,138,31,613,6,93939
22/06/2015,09:15:18,54.0855,-2.15521,116,24,630,5.8,93726
22/06/2015,09:15:24,54.0853,-2.15463,114,29,645,5.7,93566
22/06/2015,09:15:30,54.08504,-2.15401,120,31,662,5.6,93358
22/06/2015,09:15:36,54.0847,-2.15342,137,29,676,5.5,93204
22/06/2015,09:15:42,54.08436,-2.15301,145,22,692,5.4,93022
