,time,Av. Dens.,Std. Dens.
0,0.00e+00,1.66e-24,3.67e-40
1,5.61e+10,1.66e-24,4.35e-27
2,1.12e+11,1.66e-24,1.53e-26
3,1.83e+11,1.66e-24,3.95e-26
4,2.44e+11,1.66e-24,7.79e-26
5,2.96e+11,1.66e-24,1.29e-25
6,3.47e+11,1.66e-24,1.98e-25
7,4.16e+11,1.66e-24,3.24e-25
8,4.79e+11,1.66e-24,4.67e-25
9,5.53e+11,1.66e-24,6.50e-25
10,6.04e+11,1.66e-24,7.73e-25
11,6.67e+11,1.66e-24,9.03e-25
12,7.38e+11,1.66e-24,1.02e-24
13,7.91e+11,1.66e-24,1.10e-24
14,8.64e+11,1.66e-24,1.18e-24
15,9.20e+11,1.66e-24,1.23e-24
16,9.84e+11,1.66e-24,1.28e-24
17,1.05e+12,1.66e-24,1.33e-24
18,1.10e+12,1.66e-24,1.36e-24
19,1.17e+12,1.66e-24,1.39e-24
20,1.23e+12,1.66e-24,1.41e-24
21,1.29e+12,1.66e-24,1.43e-24
22,1.35e+12,1.66e-24,1.44e-24
23,1.42e+12,1.66e-24,1.45e-24
24,1.47e+12,1.66e-24,1.46e-24
25,1.54e+12,1.66e-24,1.47e-24
26,1.60e+12,1.66e-24,1.48e-24
27,1.66e+12,1.66e-24,1.49e-24
28,1.73e+12,1.66e-24,1.50e-24
29,1.78e+12,1.66e-24,1.52e-24
30,1.85e+12,1.66e-24,1.52e-24
31,1.91e+12,1.66e-24,1.52e-24
32,1.97e+12,1.66e-24,1.52e-24
33,2.04e+12,1.66e-24,1.50e-24
34,2.10e+12,1.66e-24,1.49e-24
35,2.16e+12,1.66e-24,1.47e-24
36,2.22e+12,1.66e-24,1.47e-24
37,2.28e+12,1.66e-24,1.47e-24
38,2.34e+12,1.66e-24,1.48e-24
39,2.40e+12,1.66e-24,1.50e-24
40,2.46e+12,1.66e-24,1.52e-24
41,2.53e+12,1.66e-24,1.55e-24
42,2.59e+12,1.66e-24,1.58e-24
43,2.65e+12,1.66e-24,1.60e-24
44,2.71e+12,1.66e-24,1.61e-24
45,2.77e+12,1.66e-24,1.61e-24
46,2.83e+12,1.66e-24,1.59e-24
47,2.90e+12,1.66e-24,1.57e-24
48,2.96e+12,1.66e-24,1.55e-24
49,3.02e+12,1.66e-24,1.54e-24
50,3.08e+12,1.66e-24,1.54e-24
51,3.14e+12,1.66e-24,1.56e-24
52,3.20e+12,1.66e-24,1.56e-24
53,3.27e+12,1.66e-24,1.55e-24
54,3.33e+12,1.66e-24,1.53e-24
55,3.39e+12,1.66e-24,1.52e-24
56,3.45e+12,1.66e-24,1.50e-24
57,3.52e+12,1.66e-24,1.49e-24
58,3.58e+12,1.66e-24,1.50e-24
59,3.64e+12,1.66e-24,1.51e-24
60,3.70e+12,1.66e-24,1.53e-24
61,3.76e+12,1.66e-24,1.55e-24
62,3.83e+12,1.66e-24,1.56e-24
63,3.89e+12,1.66e-24,1.57e-24
64,3.95e+12,1.66e-24,1.59e-24
65,4.01e+12,1.66e-24,1.60e-24
66,4.07e+12,1.66e-24,1.62e-24
67,4.13e+12,1.66e-24,1.65e-24
68,4.19e+12,1.66e-24,1.65e-24
69,4.26e+12,1.66e-24,1.64e-24
70,4.32e+12,1.66e-24,1.62e-24
71,4.38e+12,1.66e-24,1.59e-24
72,4.44e+12,1.66e-24,1.58e-24
73,4.50e+12,1.66e-24,1.56e-24
74,4.56e+12,1.66e-24,1.55e-24
75,4.63e+12,1.66e-24,1.55e-24
76,4.69e+12,1.66e-24,1.55e-24
77,4.75e+12,1.66e-24,1.56e-24
78,4.81e+12,1.66e-24,1.57e-24
79,4.87e+12,1.66e-24,1.59e-24
80,4.94e+12,1.66e-24,1.62e-24
81,5.00e+12,1.66e-24,1.65e-24
82,5.06e+12,1.66e-24,1.67e-24
83,5.12e+12,1.66e-24,1.69e-24
84,5.18e+12,1.66e-24,1.69e-24
85,5.25e+12,1.66e-24,1.68e-24
86,5.31e+12,1.66e-24,1.67e-24
87,5.37e+12,1.66e-24,1.64e-24
88,5.43e+12,1.66e-24,1.60e-24
89,5.49e+12,1.66e-24,1.59e-24
90,5.55e+12,1.66e-24,1.59e-24
91,5.61e+12,1.66e-24,1.59e-24
92,5.67e+12,1.66e-24,1.59e-24
93,5.74e+12,1.66e-24,1.61e-24
94,5.80e+12,1.66e-24,1.63e-24
95,5.86e+12,1.66e-24,1.63e-24
96,5.92e+12,1.66e-24,1.63e-24
97,5.98e+12,1.66e-24,1.62e-24
98,6.04e+12,1.66e-24,1.61e-24
99,6.11e+12,1.66e-24,1.61e-24
100,6.17e+12,1.66e-24,1.62e-24
