# Column 1: Channel -> ID
# Column 2: Spectral axis -> Gas velocity in km/s
# Column 3: Intensity axis -> Brightness temperature in K
#
#  Channel     Spectral axis    Intensity
 1.00000E+00   -4.93885E+02    6.75049E-02
 2.00000E+00   -4.93063E+02   -7.49969E-03
 3.00000E+00   -4.92241E+02    1.00021E-02
 4.00000E+00   -4.91420E+02    2.50244E-03
 5.00000E+00   -4.90598E+02    3.74985E-02
 6.00000E+00   -4.89776E+02    7.49969E-03
 7.00000E+00   -4.88954E+02    3.50037E-02
 8.00000E+00   -4.88132E+02    1.75018E-02
 9.00000E+00   -4.87311E+02    4.00009E-02
 1.00000E+01   -4.86489E+02   -1.49994E-02
 1.10000E+01   -4.85667E+02    2.75040E-02
 1.20000E+01   -4.84845E+02   -3.49960E-02
 1.30000E+01   -4.84023E+02    4.00009E-02
 1.40000E+01   -4.83201E+02   -6.99997E-02
 1.50000E+01   -4.82380E+02    5.24979E-02
 1.60000E+01   -4.81558E+02    2.50244E-03
 1.70000E+01   -4.80736E+02    1.25046E-02
 1.80000E+01   -4.79914E+02    5.00488E-03
 1.90000E+01   -4.79092E+02    3.25012E-02
 2.00000E+01   -4.78270E+02    0.00000E+00
 2.10000E+01   -4.77448E+02   -4.00009E-02
 2.20000E+01   -4.76627E+02   -5.74951E-02
 2.30000E+01   -4.75805E+02   -8.00018E-02
 2.40000E+01   -4.74983E+02   -8.49991E-02
 2.50000E+01   -4.74161E+02   -4.99725E-03
 2.60000E+01   -4.73339E+02   -1.75018E-02
 2.70000E+01   -4.72517E+02   -2.24991E-02
 2.80000E+01   -4.71695E+02    1.25046E-02
 2.90000E+01   -4.70873E+02    4.00009E-02
 3.00000E+01   -4.70051E+02    1.25046E-02
 3.10000E+01   -4.69229E+02    6.50024E-02
 3.20000E+01   -4.68408E+02    2.50015E-02
 3.30000E+01   -4.67586E+02    1.49994E-02
 3.40000E+01   -4.66764E+02   -3.74985E-02
 3.50000E+01   -4.65942E+02   -1.75018E-02
 3.60000E+01   -4.65120E+02    6.25000E-02
 3.70000E+01   -4.64298E+02    6.00052E-02
 3.80000E+01   -4.63476E+02   -5.99976E-02
 3.90000E+01   -4.62654E+02    9.00040E-02
 4.00000E+01   -4.61832E+02   -5.24979E-02
 4.10000E+01   -4.61010E+02    2.24991E-02
 4.20000E+01   -4.60188E+02    1.75018E-02
 4.30000E+01   -4.59366E+02    5.00488E-03
 4.40000E+01   -4.58544E+02    2.50244E-03
 4.50000E+01   -4.57722E+02    7.49969E-03
 4.60000E+01   -4.56900E+02    2.99988E-02
 4.70000E+01   -4.56078E+02   -6.99997E-02
 4.80000E+01   -4.55256E+02   -4.99725E-03
 4.90000E+01   -4.54434E+02    3.74985E-02
 5.00000E+01   -4.53612E+02    3.25012E-02
 5.10000E+01   -4.52790E+02    1.25046E-02
 5.20000E+01   -4.51968E+02    4.25034E-02
 5.30000E+01   -4.51146E+02    1.00021E-02
 5.40000E+01   -4.50324E+02   -2.24991E-02
 5.50000E+01   -4.49502E+02    2.99988E-02
 5.60000E+01   -4.48680E+02    7.49969E-03
 5.70000E+01   -4.47858E+02   -2.74963E-02
 5.80000E+01   -4.47036E+02   -1.24969E-02
 5.90000E+01   -4.46214E+02    5.00031E-02
 6.00000E+01   -4.45392E+02   -9.74960E-02
 6.10000E+01   -4.44570E+02    8.25043E-02
 6.20000E+01   -4.43748E+02   -4.75006E-02
 6.30000E+01   -4.42926E+02    1.75018E-02
 6.40000E+01   -4.42104E+02   -1.99966E-02
 6.50000E+01   -4.41281E+02    8.00018E-02
 6.60000E+01   -4.40459E+02    1.49994E-02
 6.70000E+01   -4.39637E+02   -7.49969E-03
 6.80000E+01   -4.38815E+02   -3.25012E-02
 6.90000E+01   -4.37993E+02    4.75006E-02
 7.00000E+01   -4.37171E+02    1.25046E-02
 7.10000E+01   -4.36349E+02   -8.99963E-02
 7.20000E+01   -4.35527E+02   -2.49481E-03
 7.30000E+01   -4.34705E+02    2.75040E-02
 7.40000E+01   -4.33883E+02   -1.24969E-02
 7.50000E+01   -4.33061E+02    3.50037E-02
 7.60000E+01   -4.32238E+02    3.25012E-02
 7.70000E+01   -4.31416E+02    2.24991E-02
 7.80000E+01   -4.30594E+02   -2.99988E-02
 7.90000E+01   -4.29772E+02    2.75040E-02
 8.00000E+01   -4.28950E+02   -1.00021E-02
 8.10000E+01   -4.28128E+02    5.00488E-03
 8.20000E+01   -4.27306E+02    2.50244E-03
 8.30000E+01   -4.26483E+02   -2.49481E-03
 8.40000E+01   -4.25661E+02    6.50024E-02
 8.50000E+01   -4.24839E+02    1.00021E-02
 8.60000E+01   -4.24017E+02   -5.74951E-02
 8.70000E+01   -4.23195E+02    1.25046E-02
 8.80000E+01   -4.22373E+02    2.00043E-02
 8.90000E+01   -4.21550E+02   -4.99725E-03
 9.00000E+01   -4.20728E+02   -1.99966E-02
 9.10000E+01   -4.19906E+02   -6.25000E-02
 9.20000E+01   -4.19084E+02   -2.24991E-02
 9.30000E+01   -4.18262E+02    5.75027E-02
 9.40000E+01   -4.17439E+02    1.00021E-02
 9.50000E+01   -4.16617E+02   -5.50003E-02
 9.60000E+01   -4.15795E+02   -1.00021E-02
 9.70000E+01   -4.14973E+02    2.00043E-02
 9.80000E+01   -4.14151E+02    1.25046E-02
 9.90000E+01   -4.13328E+02    2.50244E-03
 1.00000E+02   -4.12506E+02    2.99988E-02
 1.01000E+02   -4.11684E+02   -2.49481E-03
 1.02000E+02   -4.10862E+02    2.75040E-02
 1.03000E+02   -4.10039E+02    3.50037E-02
 1.04000E+02   -4.09217E+02   -4.99725E-03
 1.05000E+02   -4.08395E+02   -2.74963E-02
 1.06000E+02   -4.07573E+02   -1.49994E-02
 1.07000E+02   -4.06750E+02    5.24979E-02
 1.08000E+02   -4.05928E+02   -1.24969E-02
 1.09000E+02   -4.05106E+02    2.75040E-02
 1.10000E+02   -4.04284E+02   -1.00021E-02
 1.11000E+02   -4.03461E+02   -1.24969E-02
 1.12000E+02   -4.02639E+02    1.00021E-02
 1.13000E+02   -4.01817E+02    2.50015E-02
 1.14000E+02   -4.00994E+02   -7.49969E-03
 1.15000E+02   -4.00172E+02    0.00000E+00
 1.16000E+02   -3.99350E+02    3.25012E-02
 1.17000E+02   -3.98528E+02   -9.24988E-02
 1.18000E+02   -3.97705E+02   -4.99954E-02
 1.19000E+02   -3.96883E+02   -1.12495E-01
 1.20000E+02   -3.96061E+02   -1.49994E-02
 1.21000E+02   -3.95238E+02   -7.49969E-03
 1.22000E+02   -3.94416E+02   -5.74951E-02
 1.23000E+02   -3.93594E+02    5.00031E-02
 1.24000E+02   -3.92771E+02    8.00018E-02
 1.25000E+02   -3.91949E+02    1.25046E-02
 1.26000E+02   -3.91127E+02    2.24991E-02
 1.27000E+02   -3.90304E+02    3.74985E-02
 1.28000E+02   -3.89482E+02    6.75049E-02
 1.29000E+02   -3.88659E+02    4.00009E-02
 1.30000E+02   -3.87837E+02   -4.99954E-02
 1.31000E+02   -3.87015E+02   -6.25000E-02
 1.32000E+02   -3.86192E+02    6.50024E-02
 1.33000E+02   -3.85370E+02   -4.99954E-02
 1.34000E+02   -3.84548E+02   -1.99966E-02
 1.35000E+02   -3.83725E+02    2.50244E-03
 1.36000E+02   -3.82903E+02    2.50015E-02
 1.37000E+02   -3.82080E+02    1.49994E-02
 1.38000E+02   -3.81258E+02    3.50037E-02
 1.39000E+02   -3.80436E+02    6.50024E-02
 1.40000E+02   -3.79613E+02   -5.24979E-02
 1.41000E+02   -3.78791E+02   -1.07498E-01
 1.42000E+02   -3.77968E+02   -7.49969E-02
 1.43000E+02   -3.77146E+02    4.00009E-02
 1.44000E+02   -3.76324E+02   -2.50015E-02
 1.45000E+02   -3.75501E+02    1.75018E-02
 1.46000E+02   -3.74679E+02    7.49969E-03
 1.47000E+02   -3.73856E+02   -6.74973E-02
 1.48000E+02   -3.73034E+02   -5.74951E-02
 1.49000E+02   -3.72211E+02   -4.99725E-03
 1.50000E+02   -3.71389E+02    2.99988E-02
 1.51000E+02   -3.70566E+02    2.50244E-03
 1.52000E+02   -3.69744E+02   -1.75018E-02
 1.53000E+02   -3.68921E+02   -1.00021E-02
 1.54000E+02   -3.68099E+02   -3.25012E-02
 1.55000E+02   -3.67277E+02    5.00488E-03
 1.56000E+02   -3.66454E+02   -1.00021E-02
 1.57000E+02   -3.65632E+02   -6.74973E-02
 1.58000E+02   -3.64809E+02    7.49969E-03
 1.59000E+02   -3.63987E+02    2.50244E-03
 1.60000E+02   -3.63164E+02    8.25043E-02
 1.61000E+02   -3.62342E+02    1.05003E-01
 1.62000E+02   -3.61519E+02    4.00009E-02
 1.63000E+02   -3.60697E+02    8.25043E-02
 1.64000E+02   -3.59874E+02    1.75018E-02
 1.65000E+02   -3.59051E+02   -8.75015E-02
 1.66000E+02   -3.58229E+02   -7.49969E-02
 1.67000E+02   -3.57406E+02    2.75040E-02
 1.68000E+02   -3.56584E+02    1.25046E-02
 1.69000E+02   -3.55761E+02   -1.75018E-02
 1.70000E+02   -3.54939E+02   -2.99988E-02
 1.71000E+02   -3.54116E+02    3.74985E-02
 1.72000E+02   -3.53294E+02   -3.74985E-02
 1.73000E+02   -3.52471E+02   -5.50003E-02
 1.74000E+02   -3.51649E+02    9.75037E-02
 1.75000E+02   -3.50826E+02    1.75018E-02
 1.76000E+02   -3.50003E+02   -3.25012E-02
 1.77000E+02   -3.49181E+02   -4.99725E-03
 1.78000E+02   -3.48358E+02    7.49969E-03
 1.79000E+02   -3.47536E+02    3.25012E-02
 1.80000E+02   -3.46713E+02   -2.24991E-02
 1.81000E+02   -3.45890E+02   -4.99725E-03
