Month,Mean_temperature(C)
1,17.1
2,17.7
3,17.4
4,17.8
5,18.4
6,18.8
7,18.7
8,18.6
9,18.5
10,18.0
11,17.7
12,17.4
13,17.3
14,17.5
15,17.2
16,17.6
17,18.0
18,18.4
19,19.0
20,18.6
21,18.2
22,18.3
23,18.0
24,17.6
25,NaN
26,NaN
27,NaN
28,NaN
29,17.8
30,18.2
31,18.1
32,18.7
33,18.8
34,18.2
35,17.9
36,17.2
37,17.3
38,17.4
39,17.9
40,18.0
41,18.1
42,18.3
43,18.4
44,18.4
45,17.9
46,17.7
47,17.2
48,17.3
49,17.4
50,17.5
51,17.5
52,NaN
53,NaN
54,NaN
55,NaN
56,NaN
57,NaN
58,17.8
59,17.6
60,17.3
61,17.1
62,17.0
63,17.2
64,17.3
65,17.5
66,17.9
67,18.0
68,18.3
69,18.8
70,18.5
71,17.9
72,17.1
