,Year,World CO2 emissions,Global temperature anomaly,2-sigma error in temperature anomaly
0,1850,1.5400e-01,-3.7300e-01,4.3000e-02
1,1851,1.5520e-01,-2.1800e-01,4.5000e-02
2,1852,1.6170e-01,-2.2800e-01,4.2000e-02
3,1853,1.6900e-01,-2.6900e-01,4.1000e-02
4,1854,1.9820e-01,-2.4800e-01,4.1500e-02
5,1855,2.0180e-01,-2.7200e-01,4.1500e-02
6,1856,2.1470e-01,-3.5800e-01,4.3000e-02
7,1857,2.1630e-01,-4.6100e-01,4.0500e-02
8,1858,2.1920e-01,-4.6700e-01,4.3000e-02
9,1859,2.3200e-01,-2.8400e-01,4.5500e-02
10,1860,2.5370e-01,-3.4300e-01,4.7500e-02
11,1861,2.6640e-01,-4.0700e-01,6.4000e-02
12,1862,2.7040e-01,-5.2400e-01,6.3000e-02
13,1863,2.8770e-01,-2.7800e-01,6.6500e-02
14,1864,3.0890e-01,-4.9400e-01,5.8000e-02
15,1865,3.2700e-01,-2.7900e-01,6.3000e-02
16,1866,3.3620e-01,-2.5100e-01,7.0500e-02
17,1867,3.5890e-01,-3.2100e-01,7.0500e-02
18,1868,3.6740e-01,-2.3800e-01,7.0500e-02
19,1869,3.8860e-01,-2.6200e-01,5.6000e-02
20,1870,3.9500e-01,-2.7600e-01,5.0500e-02
21,1871,4.1840e-01,-3.3500e-01,5.5500e-02
22,1872,4.6050e-01,-2.2700e-01,5.1500e-02
23,1873,4.8650e-01,-3.0400e-01,5.3000e-02
24,1874,4.5290e-01,-3.6800e-01,5.5000e-02
25,1875,4.8860e-01,-3.9500e-01,5.6000e-02
26,1876,4.9280e-01,-3.8400e-01,5.9000e-02
27,1877,4.9970e-01,-7.5000e-02,6.0000e-02
28,1878,5.0060e-01,3.5000e-02,5.5000e-02
29,1879,5.3330e-01,-2.3000e-01,5.1000e-02
30,1880,5.9870e-01,-2.2700e-01,5.3000e-02
31,1881,6.1520e-01,-2.0000e-01,5.1000e-02
32,1882,6.4510e-01,-2.1300e-01,5.1500e-02
33,1883,6.8090e-01,-2.9600e-01,4.9500e-02
34,1884,6.8340e-01,-4.0900e-01,4.2000e-02
35,1885,6.8330e-01,-3.8900e-01,4.5000e-02
36,1886,6.8870e-01,-3.6700e-01,4.2500e-02
37,1887,7.1750e-01,-4.1800e-01,4.7000e-02
38,1888,7.8840e-01,-3.0700e-01,4.5500e-02
39,1889,7.8220e-01,-1.7100e-01,5.3000e-02
40,1890,8.4510e-01,-4.1600e-01,5.7500e-02
41,1891,8.7900e-01,-3.3000e-01,6.6000e-02
42,1892,8.8020e-01,-4.5500e-01,6.3000e-02
43,1893,8.6380e-01,-4.7300e-01,6.5500e-02
44,1894,8.8800e-01,-4.1000e-01,6.7500e-02
45,1895,9.3510e-01,-3.9000e-01,6.2500e-02
46,1896,9.5900e-01,-1.8600e-01,5.9500e-02
47,1897,9.9750e-01,-2.0600e-01,6.0000e-02
48,1898,1.0449e+00,-4.1200e-01,5.8500e-02
49,1899,1.1333e+00,-2.8900e-01,6.2000e-02
50,1900,1.1850e+00,-2.0300e-01,6.2500e-02
51,1901,1.2158e+00,-2.5900e-01,5.9000e-02
52,1902,1.2363e+00,-4.0200e-01,5.3000e-02
53,1903,1.3373e+00,-4.7900e-01,5.6000e-02
54,1904,1.3410e+00,-5.2000e-01,5.4500e-02
55,1905,1.4155e+00,-3.7700e-01,5.6000e-02
56,1906,1.4738e+00,-2.8300e-01,5.3000e-02
57,1907,1.6518e+00,-4.6500e-01,5.0000e-02
58,1908,1.5755e+00,-5.1100e-01,4.7500e-02
59,1909,1.6246e+00,-5.2200e-01,5.0000e-02
60,1910,1.6883e+00,-4.9000e-01,4.9500e-02
61,1911,1.7078e+00,-5.4400e-01,4.8500e-02
62,1912,1.7758e+00,-4.3700e-01,4.7000e-02
63,1913,1.9079e+00,-4.2400e-01,4.5000e-02
64,1914,1.7190e+00,-2.4400e-01,4.7000e-02
65,1915,1.6838e+00,-1.4100e-01,5.8500e-02
66,1916,1.8049e+00,-3.8300e-01,5.4500e-02
67,1917,1.8746e+00,-4.6800e-01,5.6000e-02
68,1918,1.8359e+00,-3.3300e-01,6.3000e-02
69,1919,1.5793e+00,-2.7500e-01,5.5000e-02
70,1920,1.8210e+00,-2.4700e-01,4.9000e-02
71,1921,1.5859e+00,-1.8700e-01,4.4000e-02
72,1922,1.6495e+00,-3.0200e-01,4.2000e-02
73,1923,1.8555e+00,-2.7600e-01,4.3000e-02
74,1924,1.8450e+00,-2.9400e-01,4.0500e-02
75,1925,1.8490e+00,-2.1500e-01,4.3500e-02
76,1926,1.7993e+00,-1.0800e-01,4.2500e-02
77,1927,1.9478e+00,-2.1000e-01,3.8000e-02
78,1928,1.9212e+00,-2.0600e-01,3.9500e-02
79,1929,2.0441e+00,-3.5000e-01,3.7000e-02
80,1930,1.8645e+00,-1.3700e-01,3.8500e-02
81,1931,1.6517e+00,-8.7000e-02,3.9000e-02
82,1932,1.4738e+00,-1.3700e-01,3.8000e-02
83,1933,1.5361e+00,-2.7300e-01,4.0000e-02
84,1934,1.6535e+00,-1.3100e-01,3.8500e-02
85,1935,1.7174e+00,-1.7800e-01,3.5500e-02
86,1936,1.8674e+00,-1.4700e-01,3.3000e-02
87,1937,1.9759e+00,-2.6000e-02,3.2500e-02
88,1938,1.8397e+00,-6.0000e-03,3.0500e-02
89,1939,1.9270e+00,-5.2000e-02,2.9500e-02
90,1940,2.0839e+00,1.4000e-02,3.1500e-02
91,1941,2.1150e+00,2.0000e-02,3.7000e-02
92,1942,2.0897e+00,-2.7000e-02,4.8000e-02
93,1943,2.1091e+00,-4.0000e-03,4.6000e-02
94,1944,2.1276e+00,1.4400e-01,4.3000e-02
95,1945,1.7559e+00,2.5000e-02,3.8000e-02
96,1946,1.9028e+00,-7.1000e-02,3.5500e-02
97,1947,2.0905e+00,-3.8000e-02,4.9500e-02
98,1948,2.1826e+00,-3.9000e-02,5.0500e-02
99,1949,2.0966e+00,-7.4000e-02,4.1500e-02
100,1950,2.3666e+00,-1.7300e-01,4.0500e-02
101,1951,2.4689e+00,-5.2000e-02,3.6500e-02
102,1952,2.4576e+00,2.8000e-02,3.6500e-02
103,1953,2.4827e+00,9.7000e-02,3.6000e-02
104,1954,2.4919e+00,-1.2900e-01,3.6500e-02
105,1955,2.6842e+00,-1.9000e-01,3.1000e-02
106,1956,2.8076e+00,-2.6700e-01,3.0500e-02
107,1957,2.8488e+00,-7.0000e-03,2.9500e-02
108,1958,2.8771e+00,4.6000e-02,2.7500e-02
109,1959,2.9723e+00,1.7000e-02,2.5500e-02
110,1960,3.0927e+00,-4.9000e-02,2.5000e-02
111,1961,3.0459e+00,3.8000e-02,2.5500e-02
112,1962,3.0948e+00,1.4000e-02,2.3000e-02
113,1963,3.1989e+00,4.8000e-02,2.6000e-02
114,1964,3.3076e+00,-2.2300e-01,2.4500e-02
115,1965,3.3888e+00,-1.4000e-01,2.5000e-02
116,1966,3.4818e+00,-6.8000e-02,2.4000e-02
117,1967,3.5194e+00,-7.4000e-02,2.0500e-02
118,1968,3.6350e+00,-1.1300e-01,1.8000e-02
119,1969,3.7970e+00,3.2000e-02,1.8000e-02
120,1970,4.0256e+00,-2.7000e-02,1.9500e-02
121,1971,4.1047e+00,-1.8600e-01,2.0500e-02
122,1972,4.2115e+00,-6.5000e-02,2.0000e-02
123,1973,4.3482e+00,6.2000e-02,1.5500e-02
124,1974,4.2484e+00,-2.1400e-01,1.5000e-02
125,1975,4.1786e+00,-1.4900e-01,1.4500e-02
126,1976,4.3286e+00,-2.4100e-01,1.4000e-02
127,1977,4.3727e+00,4.7000e-02,1.5000e-02
128,1978,4.4297e+00,-6.2000e-02,1.6500e-02
129,1979,4.4767e+00,5.7000e-02,1.7500e-02
130,1980,4.3722e+00,9.2000e-02,1.5000e-02
131,1981,4.1937e+00,1.4000e-01,1.4000e-02
132,1982,4.0880e+00,1.1000e-02,2.0500e-02
133,1983,4.0425e+00,1.9400e-01,1.8500e-02
134,1984,4.1088e+00,-1.4000e-02,1.9500e-02
135,1985,4.1712e+00,-3.0000e-02,1.7500e-02
136,1986,4.1567e+00,4.5000e-02,2.1500e-02
137,1987,4.2090e+00,1.9200e-01,2.4500e-02
138,1988,4.2953e+00,1.9800e-01,2.3000e-02
139,1989,4.2782e+00,1.1800e-01,2.8000e-02
140,1990,4.2702e+00,2.9600e-01,3.1500e-02
141,1991,4.2920e+00,2.5400e-01,3.4500e-02
142,1992,4.1044e+00,1.0500e-01,3.4000e-02
143,1993,4.0855e+00,1.4800e-01,3.7000e-02
144,1994,4.0551e+00,2.0800e-01,3.6500e-02
145,1995,4.0831e+00,3.2500e-01,3.6000e-02
146,1996,4.1469e+00,1.8300e-01,3.5500e-02
147,1997,4.1152e+00,3.9000e-01,3.4500e-02
148,1998,4.0446e+00,5.3900e-01,3.9000e-02
149,1999,4.0432e+00,3.0600e-01,3.9000e-02
150,2000,4.1073e+00,2.9400e-01,3.9500e-02
151,2001,4.0899e+00,4.4100e-01,3.8500e-02
152,2002,4.1319e+00,4.9600e-01,3.7500e-02
153,2003,4.2885e+00,5.0500e-01,3.6500e-02
154,2004,4.4305e+00,4.4700e-01,3.5000e-02
155,2005,4.5249e+00,5.4500e-01,3.8000e-02
156,2006,4.6172e+00,5.0600e-01,3.8000e-02
157,2007,4.6962e+00,4.9100e-01,3.7000e-02
158,2008,4.7235e+00,3.9500e-01,3.8500e-02
159,2009,4.5987e+00,5.0600e-01,4.0500e-02
160,2010,4.7927e+00,5.6000e-01,4.0000e-02
161,2011,4.8950e+00,4.2500e-01,3.6500e-02
162,2012,4.9079e+00,4.7000e-01,3.6000e-02
163,2013,4.8930e+00,5.1400e-01,3.7000e-02
164,2014,4.8707e+00,5.7900e-01,3.5500e-02
165,2015,4.8097e+00,7.6300e-01,3.6000e-02
