,Year,C02 emission in Ecuador,C02 emission in Colombia,CO2 emission in Peru,Average CO2 emission,Standard deviation of CO2 emissions
0,1921,1.3800e-02,4.5000e-03,5.0690e-01,1.7507e-01,2.3467e-01
1,1922,1.3700e-02,2.1300e-02,6.0250e-01,2.1250e-01,2.7579e-01
2,1923,1.9400e-02,2.7200e-02,5.9830e-01,2.1497e-01,2.7108e-01
3,1924,2.3000e-02,2.8100e-02,7.1520e-01,2.5543e-01,3.2511e-01
4,1925,3.6200e-02,6.1500e-02,9.3170e-01,3.4313e-01,4.1631e-01
5,1926,4.7200e-02,1.1460e-01,9.0750e-01,3.5643e-01,3.9063e-01
6,1927,1.1990e-01,1.0890e-01,8.8380e-01,3.7087e-01,3.6273e-01
7,1928,2.3960e-01,1.7390e-01,9.9950e-01,4.7100e-01,3.7467e-01
8,1929,3.0120e-01,1.6270e-01,1.2956e+00,5.8650e-01,5.0459e-01
9,1930,3.3480e-01,8.0600e-02,1.0127e+00,4.7603e-01,3.9341e-01
10,1931,3.7160e-01,4.0000e-02,7.9740e-01,4.0300e-01,3.1000e-01
11,1932,3.3780e-01,9.6000e-03,7.1630e-01,3.5457e-01,2.8875e-01
12,1933,3.3670e-01,6.2900e-02,1.1431e+00,5.1423e-01,4.5851e-01
13,1934,3.3210e-01,8.5300e-02,1.1396e+00,5.1900e-01,4.5025e-01
14,1935,3.4700e-01,2.7440e-01,1.1908e+00,6.0407e-01,4.1594e-01
15,1936,3.7840e-01,3.1330e-01,1.2106e+00,6.3410e-01,4.0851e-01
16,1937,4.1130e-01,3.0870e-01,1.4158e+00,7.1193e-01,4.9947e-01
17,1938,4.2430e-01,3.2810e-01,1.2673e+00,6.7323e-01,4.2190e-01
18,1939,4.2980e-01,4.9830e-01,9.1120e-01,6.1310e-01,2.1264e-01
19,1940,4.2560e-01,4.3940e-01,8.1160e-01,5.5887e-01,1.7880e-01
20,1941,2.7720e-01,3.8600e-01,7.9100e-01,4.8473e-01,2.2107e-01
21,1942,3.8800e-01,4.2140e-01,8.9500e-01,5.6813e-01,2.3153e-01
22,1943,3.7730e-01,3.6890e-01,9.5780e-01,5.6800e-01,2.7565e-01
23,1944,4.5970e-01,4.5770e-01,9.2440e-01,6.1393e-01,2.1953e-01
24,1945,4.1230e-01,4.2250e-01,8.8250e-01,5.7243e-01,2.1929e-01
25,1946,3.5910e-01,4.5700e-01,7.9810e-01,5.3807e-01,1.8817e-01
26,1947,3.6540e-01,4.5560e-01,8.0410e-01,5.4170e-01,1.8916e-01
27,1948,3.9340e-01,3.9420e-01,8.5430e-01,5.4730e-01,2.1708e-01
28,1949,3.8600e-01,4.4030e-01,8.7050e-01,5.6560e-01,2.1673e-01
29,1950,2.1320e-01,6.2580e-01,5.8400e-01,4.7433e-01,1.8544e-01
30,1951,1.9750e-01,6.6400e-01,5.9840e-01,4.8663e-01,2.0619e-01
31,1952,2.4450e-01,6.8330e-01,6.3370e-01,5.2050e-01,1.9621e-01
32,1953,2.1870e-01,8.2820e-01,6.5610e-01,5.6767e-01,2.5656e-01
33,1954,2.5010e-01,7.1940e-01,7.2270e-01,5.6407e-01,2.2201e-01
34,1955,3.0270e-01,8.6710e-01,6.9130e-01,6.2037e-01,2.3581e-01
35,1956,3.1890e-01,8.8760e-01,6.9360e-01,6.3337e-01,2.3605e-01
36,1957,2.7080e-01,9.3290e-01,7.1390e-01,6.3920e-01,2.7541e-01
37,1958,3.0780e-01,9.2630e-01,7.6750e-01,6.6720e-01,2.6227e-01
38,1959,2.9260e-01,1.0335e+00,7.3070e-01,6.8560e-01,3.0415e-01
39,1960,3.8770e-01,1.0207e+00,8.0400e-01,7.3747e-01,2.6267e-01
40,1961,3.5180e-01,1.0983e+00,8.2650e-01,7.5887e-01,3.0849e-01
41,1962,3.2510e-01,1.1361e+00,9.2650e-01,7.9590e-01,3.4373e-01
42,1963,3.6260e-01,1.2044e+00,9.2410e-01,8.3037e-01,3.5000e-01
43,1964,4.2060e-01,1.1930e+00,1.0764e+00,8.9667e-01,3.3998e-01
44,1965,4.3360e-01,1.2207e+00,1.0205e+00,8.9160e-01,3.3401e-01
45,1966,4.4760e-01,1.2176e+00,1.0992e+00,9.2147e-01,3.3854e-01
46,1967,4.6560e-01,1.2445e+00,1.1012e+00,9.3710e-01,3.3849e-01
47,1968,5.4360e-01,1.3030e+00,1.1375e+00,9.9470e-01,3.2605e-01
48,1969,6.0880e-01,1.3378e+00,1.1675e+00,1.0380e+00,3.1137e-01
49,1970,7.0490e-01,1.3208e+00,1.3199e+00,1.1152e+00,2.9013e-01
50,1971,6.7540e-01,1.3762e+00,1.3436e+00,1.1317e+00,3.2295e-01
51,1972,7.1380e-01,1.3957e+00,1.2761e+00,1.1285e+00,2.9730e-01
52,1973,7.9460e-01,1.4607e+00,1.3494e+00,1.2016e+00,2.9133e-01
53,1974,8.9420e-01,1.5462e+00,1.4201e+00,1.2868e+00,2.8237e-01
54,1975,1.0516e+00,1.4880e+00,1.4216e+00,1.3204e+00,1.9199e-01
55,1976,1.1270e+00,1.5434e+00,1.4143e+00,1.3616e+00,1.7404e-01
56,1977,1.0120e+00,1.5594e+00,1.4329e+00,1.3348e+00,2.3400e-01
57,1978,1.3725e+00,1.6140e+00,1.3434e+00,1.4433e+00,1.2129e-01
58,1979,1.5597e+00,1.6823e+00,1.2982e+00,1.5134e+00,1.6019e-01
59,1980,1.6782e+00,1.6421e+00,1.3714e+00,1.5639e+00,1.3691e-01
60,1981,2.0314e+00,1.6097e+00,1.3359e+00,1.6590e+00,2.8607e-01
61,1982,2.2873e+00,1.6255e+00,1.2808e+00,1.7312e+00,4.1764e-01
62,1983,2.2613e+00,1.7138e+00,1.0806e+00,1.6852e+00,4.8244e-01
63,1984,2.3961e+00,1.6604e+00,1.0679e+00,1.7081e+00,5.4328e-01
64,1985,2.1346e+00,1.6053e+00,9.8390e-01,1.5746e+00,4.7027e-01
65,1986,1.6351e+00,1.5947e+00,1.0764e+00,1.4354e+00,2.5439e-01
66,1987,1.5776e+00,1.6068e+00,1.2418e+00,1.4754e+00,1.6561e-01
67,1988,1.7599e+00,1.6346e+00,1.1827e+00,1.5257e+00,2.4790e-01
68,1989,2.0170e+00,1.6265e+00,1.0068e+00,1.5501e+00,4.1594e-01
69,1990,1.6086e+00,1.7188e+00,9.6960e-01,1.4323e+00,3.3028e-01
70,1991,1.5428e+00,1.6782e+00,9.2170e-01,1.3809e+00,3.2937e-01
71,1992,2.0492e+00,1.7865e+00,9.1370e-01,1.5831e+00,4.8536e-01
72,1993,2.1976e+00,1.8049e+00,1.0204e+00,1.6743e+00,4.8938e-01
73,1994,1.2080e+00,1.8678e+00,9.9610e-01,1.3573e+00,3.7120e-01
74,1995,1.9804e+00,1.6138e+00,1.0152e+00,1.5365e+00,3.9782e-01
75,1996,2.0529e+00,1.6121e+00,9.7860e-01,1.5479e+00,4.4093e-01
76,1997,1.5234e+00,1.7097e+00,1.0823e+00,1.4385e+00,2.6308e-01
77,1998,1.8292e+00,1.6984e+00,1.0760e+00,1.5345e+00,3.2860e-01
78,1999,1.7171e+00,1.4042e+00,1.1187e+00,1.4133e+00,2.4438e-01
79,2000,1.6215e+00,1.4196e+00,1.1377e+00,1.3929e+00,1.9841e-01
80,2001,1.7763e+00,1.3896e+00,1.0068e+00,1.3909e+00,3.1415e-01
81,2002,1.8833e+00,1.3561e+00,9.9660e-01,1.4120e+00,3.6415e-01
82,2003,2.0006e+00,1.3763e+00,9.5750e-01,1.4448e+00,4.2859e-01
83,2004,2.1172e+00,1.2969e+00,1.1478e+00,1.5206e+00,4.2621e-01
84,2005,2.1676e+00,1.4083e+00,1.3254e+00,1.6338e+00,3.7899e-01
85,2006,2.0552e+00,1.4353e+00,1.0117e+00,1.5007e+00,4.2851e-01
86,2007,2.3562e+00,1.3759e+00,1.2236e+00,1.6519e+00,5.0188e-01
87,2008,2.0345e+00,1.5060e+00,1.4288e+00,1.6564e+00,2.6918e-01
88,2009,2.2000e+00,1.6214e+00,1.7823e+00,1.8679e+00,2.4384e-01
89,2010,2.3200e+00,1.6867e+00,1.9696e+00,1.9921e+00,2.5903e-01
90,2011,2.4533e+00,1.6661e+00,1.6718e+00,1.9304e+00,3.6975e-01
91,2012,2.4010e+00,1.7304e+00,1.8315e+00,1.9876e+00,2.9519e-01
92,2013,2.5060e+00,1.8804e+00,1.4463e+00,1.9442e+00,4.3497e-01
93,2014,2.7086e+00,1.8885e+00,1.6428e+00,2.0800e+00,4.5569e-01
94,2015,2.5141e+00,1.9353e+00,1.6103e+00,2.0199e+00,3.7379e-01
95,2016,2.3955e+00,1.9355e+00,1.7047e+00,2.0119e+00,2.8715e-01
96,2017,2.3399e+00,1.7644e+00,1.7085e+00,1.9376e+00,2.8538e-01
97,2018,2.2195e+00,1.7092e+00,1.7084e+00,1.8790e+00,2.4075e-01
98,2019,2.1157e+00,1.7962e+00,1.6911e+00,1.8677e+00,1.8056e-01
99,2020,1.7532e+00,1.7512e+00,1.3559e+00,1.6201e+00,1.8682e-01
