Time	Mass1	FluxH	FluxE
0.000000	61.18026	8.262365	8.262365
0.09980016	61.18028	8.262365	8.262365
0.1999556	61.18033	8.262365	8.262365
0.299681	61.18041	7.561459	8.262365
0.399916	61.18043	7.927189	8.262365
0.4997105	61.18043	5.637647	8.262365
0.5997653	61.18043	4.61279		8.262365
0.6999839	61.18043	4.365408	8.262348
0.7998617	61.18043	4.325515	7.283731
0.8998577	61.18043	4.474914	7.859165
0.9998068	61.18043	4.749732	7.102532
1.099872	61.18042	5.002597	5.536957
1.199948	61.18008	5.160585	4.55306
1.299926	61.17862	5.267695	4.066602
1.399905	61.17564	5.412515	3.993944
1.499916	61.16772	5.523657	4.070811
1.599893	61.15427	5.611664	4.173084
1.699951	61.13762	5.678841	4.308275
1.799934	61.11965	5.687614	4.453639
1.89991		61.0994		5.836104	4.564659
1.999953	61.07492	5.902143	4.605895
2.099911	61.04929	6.039711	4.649152
2.19989		61.01999	6.053095	4.648183
2.299931	60.98657	6.099653	4.692936
2.399924	60.95141	6.159784	4.7283
2.499999	60.91244	6.184172	4.736958
2.599998	60.87072	6.258679	4.80853
2.699871	60.82716	6.261842	4.847175
2.799929	60.78477	6.266425	4.846936
2.899973	60.73671	6.372541	4.939696
2.999907	60.68902	6.496993	4.945607
3.099908	60.63249	6.444493	4.989285
3.199866	60.57682	6.395029	5.026922
3.29998		60.52266	6.466347	4.995677
3.399886	60.46514	6.565957	5.026864
3.499975	60.40212	6.627456	5.071905
3.599933	60.33834	6.58518		5.118911
3.699991	60.27427	6.576221	5.14131
3.799898	60.20314	6.601115	5.124653
3.899875	60.137		6.673735	5.101609
3.999934	60.06975	6.629321	5.134843
4.099867	59.99999	6.530822	5.132168
4.199992	59.92451	6.49258		5.165649
4.299838	59.85583	6.446104	5.176426
4.399916	59.78319	6.488762	5.152359
4.4999		59.70276	6.499824	5.084345
4.599816	59.62328	6.535891	5.033737
4.699879	59.54066	6.501448	5.030737
4.799859	59.45449	6.354719	5.014149
4.899898	59.36906	6.32447		4.962023
4.999963	59.28047	6.430257	5.010451
5.099815	59.18448	6.482149	4.959437
5.199829	59.08373	6.390562	4.933182
5.299736	58.9798		6.571527	4.881165
5.399895	58.86944	6.819686	4.846878
5.499949	58.76383	6.770386	4.765933
5.599699	58.64756	6.88108		4.742507
5.699848	58.52099	6.871672	4.787831
5.799772	58.40323	6.754986	4.804302
5.899714	58.29375	6.674196	4.729952
5.999899	58.17343	6.566849	4.760896
6.099827	58.04861	6.617986	4.775577
6.199733	57.91369	6.672719	4.794974
6.299713	57.7831		6.795602	4.699622
6.399739	57.64681	6.967324	4.698035
6.499841	57.50871	7.002931	4.662907
6.599835	57.36905	6.980163	4.525492
6.699715	57.2193		6.970144	4.40378
6.799985	57.06604	7.018963	4.278384
6.899997	56.91084	7.155141	4.21344
6.999752	56.73394	6.743223	4.191222
7.09991		56.54412	7.433032	4.307687
7.199678	56.34542	8.324164	4.286661
7.299979	56.1191		9.952296	4.428413
7.39987		55.87772	12.32605	4.286475
7.499752	55.63503	11.98515	4.208905
7.599726	55.32876	13.83131	4.094412
7.699977	54.99059	16.26789	3.789843
7.799823	54.63229	17.73771	3.273594
7.899762	54.18846	18.65398	3.006884
7.999789	53.66923	21.20598	2.832145
8.099956	52.96128	25.09278	2.630604
8.199907	52.08572	25.47223	2.51944
8.299865	51.11914	26.74112	2.411453
8.39968		50.09051	26.42875	2.44737
8.499951	48.85937	23.8712		2.584199
8.599983	47.25289	21.01615	2.621316
8.699736	45.42236	18.74047	2.622183
8.799808	43.61718	19.70716	2.968924
8.899926	41.66128	17.17351	3.389345
8.999903	39.32883	12.84534	3.821273
9.099972	36.83147	11.00336	3.976983
9.199946	34.4118		8.272846	4.297303
9.299812	31.95482	8.262365	4.871301
9.399996	29.30277	8.262365	6.404175
9.499858	26.34475	8.262365	8.375899
9.599985	23.29446	8.262365	10.58558
9.699971	20.33465	8.262365	11.14721
9.799818	17.66679	8.262365	12.60162
9.899956	15.14736	8.262365	12.67502
9.999821	12.79309	8.262365	12.69109
