,Length(m),Period1(s),Period2(s),Period3(s),Period4(s),Period5(s),PeriodMean(s),PeriodStd(s)
0,1.00e-01,5.30e-01,5.20e-01,6.00e-01,6.50e-01,5.90e-01,5.78e-01,4.79e-02
1,2.00e-01,9.20e-01,9.10e-01,9.30e-01,9.20e-01,8.90e-01,9.14e-01,1.36e-02
2,3.00e-01,1.17e+00,1.14e+00,1.15e+00,1.16e+00,1.18e+00,1.16e+00,1.41e-02
3,4.00e-01,1.27e+00,1.30e+00,1.31e+00,1.27e+00,1.29e+00,1.29e+00,1.60e-02
4,5.00e-01,1.37e+00,1.36e+00,1.40e+00,1.41e+00,1.42e+00,1.39e+00,2.32e-02
5,6.00e-01,1.52e+00,1.55e+00,1.56e+00,1.54e+00,1.53e+00,1.54e+00,1.41e-02
6,7.00e-01,1.66e+00,1.61e+00,1.69e+00,1.67e+00,1.65e+00,1.66e+00,2.65e-02
7,8.00e-01,1.81e+00,1.79e+00,1.82e+00,1.83e+00,1.83e+00,1.82e+00,1.50e-02
8,9.00e-01,1.94e+00,1.90e+00,1.92e+00,1.92e+00,1.93e+00,1.92e+00,1.33e-02
9,1.00e+00,1.99e+00,1.98e+00,2.04e+00,1.95e+00,1.96e+00,1.98e+00,3.14e-02
