,maxpulse,calories
0,130,4.09e+02
1,145,4.79e+02
2,135,3.40e+02
3,175,2.82e+02
4,148,4.06e+02
5,127,3.00e+02
6,136,3.74e+02
7,134,2.53e+02
8,133,1.95e+02
9,124,2.69e+02
10,147,3.29e+02
11,120,2.51e+02
12,128,3.45e+02
13,132,3.79e+02
14,123,2.75e+02
15,120,2.15e+02
16,120,3.00e+02
17,112,
18,123,3.23e+02
19,125,2.43e+02
20,131,3.64e+02
21,119,2.82e+02
22,101,3.00e+02
23,132,2.46e+02
24,126,3.34e+02
25,120,2.50e+02
26,118,2.41e+02
27,132,
28,132,2.80e+02
29,129,3.80e+02
30,115,2.43e+02
31,112,1.80e+02
32,124,2.99e+02
33,113,2.23e+02
34,136,3.61e+02
35,140,4.15e+02
36,127,3.00e+02
37,120,3.00e+02
38,120,3.00e+02
39,129,2.66e+02
40,112,1.80e+02
41,126,2.86e+02
42,122,3.29e+02
43,138,4.00e+02
44,131,3.97e+02
45,119,2.73e+02
46,153,3.88e+02
47,136,3.00e+02
48,129,2.98e+02
49,139,3.98e+02
50,136,3.80e+02
51,146,6.43e+02
52,130,2.63e+02
53,151,4.86e+02
54,175,2.38e+02
55,146,4.51e+02
56,121,4.13e+02
57,144,3.05e+02
58,172,2.26e+02
59,152,3.21e+02
60,160,1.38e+03
61,137,1.03e+03
62,135,8.53e+02
63,141,3.41e+02
64,130,1.31e+02
65,130,8.00e+02
66,135,8.73e+02
67,130,8.16e+02
68,136,1.10e+02
69,143,1.50e+03
70,129,1.12e+03
71,153,3.88e+02
72,127,7.00e+02
73,127,9.53e+02
74,146,3.04e+02
75,125,5.63e+02
76,134,2.51e+02
77,141,3.00e+02
78,130,5.00e+02
79,131,1.73e+03
80,182,3.19e+02
81,169,3.44e+02
82,139,1.51e+02
83,130,5.00e+02
84,120,2.25e+02
85,170,3.00e+02
86,136,2.34e+02
87,157,1.00e+03
88,103,2.42e+02
89,107,5.03e+01
90,127,6.00e+02
91,137,
92,107,1.05e+02
93,100,5.05e+01
94,171,1.27e+02
95,168,2.29e+02
96,128,1.28e+02
97,168,2.44e+02
98,131,1.88e+02
99,124,6.04e+02
100,112,7.77e+01
101,110,5.00e+02
102,100,5.00e+02
103,100,5.00e+02
104,108,9.27e+01
105,128,1.24e+02
106,120,8.00e+02
107,120,8.62e+01
108,120,5.00e+02
109,184,1.86e+03
110,124,3.25e+02
111,124,2.75e+02
112,139,1.24e+02
113,120,2.25e+02
114,131,3.68e+02
115,151,3.52e+02
116,141,4.43e+02
117,122,2.77e+02
118,125,
119,124,3.33e+02
120,137,1.94e+02
121,120,1.01e+02
122,169,3.37e+02
123,127,3.45e+02
124,151,3.68e+02
125,122,2.71e+02
126,124,2.75e+02
127,127,3.82e+02
128,125,4.66e+02
129,151,3.84e+02
130,134,3.42e+02
131,138,3.58e+02
132,133,3.35e+02
133,132,3.28e+02
134,136,3.39e+02
135,156,1.89e+02
136,143,3.18e+02
137,137,3.18e+02
138,138,3.08e+02
139,162,2.22e+02
140,135,3.90e+02
141,127,
142,120,2.50e+02
143,149,3.35e+02
144,170,4.70e+02
145,126,2.71e+02
146,136,4.00e+02
147,146,3.62e+02
148,127,1.85e+02
149,150,4.09e+02
150,134,3.43e+02
151,129,3.53e+02
152,138,3.74e+02
153,167,2.76e+02
154,128,3.28e+02
155,151,3.68e+02
156,131,2.70e+02
157,120,2.70e+02
158,150,3.83e+02
159,120,2.41e+02
160,120,2.50e+02
161,130,2.60e+02
162,130,2.70e+02
163,140,2.81e+02
164,140,2.91e+02
165,145,3.00e+02
166,145,3.10e+02
167,150,3.20e+02
168,150,3.30e+02
