Time   Mix1   Mix2   Mix3   Mass1   Mass2   Mass3   FluxH   FluxE   FluxH1   FluxE1   FluxH2   FluxE2   FluxH3   FluxE3
0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 6.118026e+01 4.441356e+01 1.676670e+01 8.262365e+00 8.262365e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
9.980016e-02 2.487785e-02 0.000000e+00 2.487785e-02 6.118028e+01 4.441356e+01 1.676672e+01 8.262365e+00 8.262365e+00 2.419779e-217 0.000000e+00 0.000000e+00 0.000000e+00 2.419779e-217 0.000000e+00
1.999556e-01 3.022669e-02 3.916059e-02 5.069916e-02 6.118033e+01 4.441356e+01 1.676677e+01 8.262365e+00 8.262365e+00 3.109128e-137 0.000000e+00 0.000000e+00 0.000000e+00 3.109128e-137 0.000000e+00
2.996810e-01 3.942418e-02 8.313487e-01 6.936021e-01 6.118041e+01 4.441356e+01 1.676685e+01 7.561459e+00 8.262365e+00 1.646668e-29 0.000000e+00 0.000000e+00 0.000000e+00 1.646668e-29 0.000000e+00
3.999160e-01 5.687030e-02 1.259453e+00 1.030902e+00 6.118043e+01 4.441356e+01 1.676687e+01 7.927189e+00 8.262365e+00 2.084075e-06 6.197205e-288 1.285030e-248 0.000000e+00 2.084075e-06 6.197205e-288
4.997105e-01 8.797703e-02 1.561329e+00 1.295701e+00 6.118043e+01 4.441356e+01 1.676687e+01 5.637647e+00 8.262365e+00 6.533419e-03 2.033281e-218 2.868400e-194 0.000000e+00 6.533419e-03 2.033281e-218
5.997653e-01 1.210283e-01 1.763237e+00 1.489608e+00 6.118043e+01 4.441356e+01 1.676687e+01 4.612790e+00 8.262365e+00 1.521216e-02 3.650431e-182 4.191847e-169 0.000000e+00 1.521216e-02 3.650431e-182
6.999839e-01 1.530574e-01 1.920401e+00 1.642500e+00 6.118043e+01 4.441356e+01 1.676687e+01 4.365408e+00 8.262348e+00 3.559808e-02 8.955908e-166 6.806776e-142 0.000000e+00 3.559808e-02 8.955908e-166
7.998617e-01 1.857280e-01 2.035199e+00 1.772680e+00 6.118043e+01 4.441356e+01 1.676687e+01 4.325515e+00 7.283731e+00 8.449783e-02 5.377237e-143 1.692608e-94 9.141767e-263 8.449783e-02 5.377237e-143
8.998577e-01 2.173947e-01 2.113876e+00 1.868776e+00 6.118043e+01 4.441356e+01 1.676687e+01 4.474914e+00 7.859165e+00 1.428404e-01 2.219149e-33 1.662503e-63 1.078535e-219 1.428404e-01 2.219149e-33
9.998068e-01 2.504698e-01 2.176972e+00 1.956076e+00 6.118043e+01 4.441356e+01 1.676687e+01 4.749732e+00 7.102532e+00 1.809036e-01 5.303414e-10 8.678040e-43 8.833320e-193 1.809036e-01 5.303414e-10
1.099872e+00 2.844498e-01 2.235425e+00 2.032441e+00 6.118042e+01 4.441356e+01 1.676685e+01 5.002597e+00 5.536957e+00 2.141347e-01 5.076531e-04 2.594250e-28 3.365664e-174 2.141347e-01 5.076531e-04
1.199948e+00 3.134683e-01 2.270329e+00 2.092935e+00 6.118008e+01 4.441356e+01 1.676652e+01 5.160585e+00 4.553060e+00 2.647026e-01 4.320385e-03 2.771781e-21 1.667016e-164 2.647026e-01 4.320385e-03
1.299926e+00 3.429351e-01 2.295864e+00 2.146457e+00 6.117862e+01 4.441356e+01 1.676506e+01 5.267695e+00 4.066602e+00 2.949291e-01 8.944143e-03 9.547746e-18 6.823186e-133 2.949291e-01 8.944143e-03
1.399905e+00 3.743864e-01 2.326673e+00 2.257418e+00 6.117564e+01 4.441356e+01 1.676208e+01 5.412515e+00 3.993944e+00 3.495412e-01 2.354497e-02 6.072215e-14 8.938733e-93 3.495412e-01 2.354497e-02
1.499916e+00 3.994566e-01 2.358914e+00 2.293227e+00 6.116772e+01 4.441356e+01 1.675416e+01 5.523657e+00 4.070811e+00 3.661175e-01 5.059290e-02 3.382650e-12 1.295957e-64 3.661175e-01 5.059290e-02
1.599893e+00 4.198323e-01 2.402494e+00 2.333489e+00 6.115427e+01 4.441356e+01 1.674071e+01 5.611664e+00 4.173084e+00 3.836989e-01 8.372332e-02 2.601262e-10 1.650836e-42 3.836989e-01 8.372332e-02
1.699951e+00 4.370521e-01 2.441790e+00 2.377536e+00 6.113762e+01 4.441356e+01 1.672406e+01 5.678841e+00 4.308275e+00 4.117960e-01 8.914570e-02 6.943217e-09 1.425769e-28 4.117961e-01 8.914570e-02
1.799934e+00 4.546981e-01 2.415346e+00 2.414541e+00 6.111965e+01 4.441356e+01 1.670609e+01 5.687614e+00 4.453639e+00 4.297132e-01 9.171841e-02 6.461663e-08 1.624629e-23 4.297131e-01 9.171841e-02
1.899910e+00 4.744078e-01 2.441249e+00 2.467799e+00 6.109940e+01 4.441356e+01 1.668584e+01 5.836104e+00 4.564659e+00 4.691682e-01 1.057597e-01 3.841520e-07 1.422344e-18 4.691674e-01 1.057597e-01
1.999953e+00 4.895011e-01 2.448895e+00 2.525150e+00 6.107492e+01 4.441356e+01 1.666136e+01 5.902143e+00 4.605895e+00 4.668358e-01 1.350032e-01 3.278801e-07 2.745195e-14 4.668353e-01 1.350032e-01
2.099911e+00 5.049867e-01 2.483803e+00 2.567230e+00 6.104929e+01 4.441356e+01 1.663573e+01 6.039711e+00 4.649152e+00 4.873380e-01 1.338943e-01 1.977652e-06 9.047074e-13 4.873341e-01 1.338943e-01
2.199890e+00 5.200472e-01 2.513377e+00 2.591384e+00 6.101999e+01 4.441356e+01 1.660643e+01 6.053095e+00 4.648183e+00 4.932105e-01 1.464775e-01 5.718828e-06 1.301202e-10 4.932001e-01 1.464775e-01
2.299931e+00 5.311101e-01 2.550948e+00 2.602753e+00 6.098657e+01 4.441356e+01 1.657300e+01 6.099653e+00 4.692936e+00 5.040177e-01 1.919117e-01 1.012898e-05 6.074147e-09 5.040002e-01 1.919117e-01
2.399924e+00 5.414884e-01 2.596247e+00 2.611566e+00 6.095141e+01 4.441356e+01 1.653785e+01 6.159784e+00 4.728300e+00 5.192782e-01 1.893546e-01 8.548658e-05 3.631851e-08 5.191656e-01 1.893545e-01
2.499999e+00 5.500205e-01 2.731344e+00 2.647505e+00 6.091244e+01 4.441356e+01 1.649888e+01 6.184172e+00 4.736958e+00 5.574004e-01 2.167513e-01 4.527092e-04 2.495456e-07 5.568379e-01 2.167506e-01
2.599998e+00 5.584410e-01 2.870406e+00 2.802634e+00 6.087072e+01 4.441356e+01 1.645716e+01 6.258679e+00 4.808530e+00 5.430811e-01 2.096496e-01 5.568530e-04 7.775672e-08 5.424625e-01 2.096496e-01
2.699871e+00 5.709637e-01 2.938936e+00 2.856556e+00 6.082716e+01 4.441356e+01 1.641360e+01 6.261842e+00 4.847175e+00 5.739535e-01 2.142883e-01 3.680767e-03 1.339132e-06 5.701103e-01 2.142863e-01
2.799929e+00 5.849988e-01 2.986870e+00 2.883543e+00 6.078477e+01 4.441356e+01 1.637120e+01 6.266425e+00 4.846936e+00 6.126684e-01 2.272670e-01 5.768570e-03 4.522698e-06 6.068009e-01 2.272588e-01
2.899973e+00 5.967001e-01 3.010494e+00 2.892369e+00 6.073671e+01 4.441356e+01 1.632314e+01 6.372541e+00 4.939696e+00 6.197917e-01 2.384144e-01 8.102925e-03 1.711830e-06 6.116574e-01 2.384115e-01
2.999907e+00 6.091577e-01 3.009838e+00 2.902692e+00 6.068902e+01 4.441355e+01 1.627546e+01 6.496993e+00 4.945607e+00 6.362785e-01 2.479246e-01 1.116507e-02 1.452554e-05 6.249507e-01 2.479040e-01
3.099908e+00 6.138094e-01 3.008688e+00 2.911574e+00 6.063249e+01 4.441349e+01 1.621901e+01 6.444493e+00 4.989285e+00 6.422195e-01 2.865842e-01 2.264545e-02 2.185634e-04 6.191855e-01 2.863285e-01
