,time,Av. Dens.,St. Dens.,RMS Vel.,RMS Mach
0,0.0000e+00,1.6600e-24,0.0000e+00,0.0000e+00,0.0000e+00
1,5.6148e+10,1.6600e-24,8.8290e-27,1.4868e+05,1.4868e-01
2,1.2026e+11,1.6600e-24,3.3563e-26,2.9721e+05,2.9721e-01
3,1.8423e+11,1.6600e-24,7.1164e-26,4.1656e+05,4.1656e-01
4,2.4208e+11,1.6600e-24,1.2261e-25,5.0067e+05,5.0067e-01
5,3.0469e+11,1.6600e-24,2.1120e-25,5.7259e+05,5.7259e-01
6,3.6970e+11,1.6600e-24,3.6174e-25,6.5029e+05,6.5029e-01
7,4.3168e+11,1.6600e-24,5.7305e-25,7.3385e+05,7.3385e-01
8,4.9347e+11,1.6600e-24,8.2069e-25,8.1562e+05,8.1562e-01
9,5.5491e+11,1.6600e-24,1.0641e-24,8.9228e+05,8.9228e-01
10,6.1583e+11,1.6600e-24,1.2908e-24,9.6133e+05,9.6133e-01
11,6.7804e+11,1.6600e-24,1.4918e-24,1.0193e+06,1.0193e+00
12,7.3975e+11,1.6600e-24,1.6648e-24,1.0681e+06,1.0681e+00
13,8.0208e+11,1.6600e-24,1.7811e-24,1.1118e+06,1.1118e+00
14,8.6390e+11,1.6600e-24,1.8720e-24,1.1516e+06,1.1516e+00
15,9.2522e+11,1.6600e-24,1.9398e-24,1.1866e+06,1.1866e+00
16,9.8673e+11,1.6600e-24,1.9975e-24,1.2143e+06,1.2143e+00
17,1.0489e+12,1.6600e-24,2.0395e-24,1.2322e+06,1.2322e+00
18,1.1106e+12,1.6600e-24,2.0930e-24,1.2529e+06,1.2529e+00
19,1.1723e+12,1.6600e-24,2.1608e-24,1.2731e+06,1.2731e+00
20,1.2340e+12,1.6600e-24,2.2438e-24,1.2941e+06,1.2941e+00
21,1.2956e+12,1.6600e-24,2.2864e-24,1.3081e+06,1.3081e+00
22,1.3570e+12,1.6600e-24,2.3161e-24,1.3210e+06,1.3210e+00
23,1.4188e+12,1.6600e-24,2.3417e-24,1.3340e+06,1.3340e+00
24,1.4807e+12,1.6600e-24,2.3464e-24,1.3528e+06,1.3528e+00
25,1.5429e+12,1.6600e-24,2.2988e-24,1.3809e+06,1.3809e+00
26,1.6044e+12,1.6600e-24,2.2844e-24,1.4016e+06,1.4016e+00
27,1.6656e+12,1.6600e-24,2.3172e-24,1.4160e+06,1.4160e+00
28,1.7277e+12,1.6600e-24,2.3782e-24,1.4315e+06,1.4315e+00
29,1.7897e+12,1.6600e-24,2.4208e-24,1.4450e+06,1.4450e+00
30,1.8513e+12,1.6600e-24,2.4511e-24,1.4545e+06,1.4545e+00
31,1.9132e+12,1.6600e-24,2.4594e-24,1.4573e+06,1.4573e+00
32,1.9750e+12,1.6600e-24,2.4554e-24,1.4518e+06,1.4518e+00
33,2.0361e+12,1.6600e-24,2.4569e-24,1.4451e+06,1.4451e+00
34,2.0980e+12,1.6600e-24,2.4587e-24,1.4387e+06,1.4387e+00
35,2.1599e+12,1.6600e-24,2.4782e-24,1.4369e+06,1.4369e+00
36,2.2212e+12,1.6600e-24,2.4995e-24,1.4367e+06,1.4367e+00
37,2.2833e+12,1.6600e-24,2.4953e-24,1.4351e+06,1.4351e+00
38,2.3450e+12,1.6600e-24,2.4970e-24,1.4388e+06,1.4388e+00
39,2.4070e+12,1.6600e-24,2.5450e-24,1.4507e+06,1.4507e+00
40,2.4682e+12,1.6600e-24,2.5659e-24,1.4572e+06,1.4572e+00
