mpu,cal
130,4.09e+02
145,4.79e+02
135,3.40e+02
175,2.82e+02
148,4.06e+02
127,3.00e+02
136,3.74e+02
134,2.53e+02
133,1.95e+02
124,2.69e+02
147,3.29e+02
120,2.51e+02
128,3.45e+02
132,3.79e+02
123,2.75e+02
120,2.15e+02
120,3.00e+02
112,
123,3.23e+02
125,2.43e+02
131,3.64e+02
119,2.82e+02
101,3.00e+02
132,2.46e+02
126,3.34e+02
120,2.50e+02
118,2.41e+02
132,
132,2.80e+02
129,3.80e+02
115,2.43e+02
112,1.80e+02
124,2.99e+02
113,2.23e+02
136,3.61e+02
140,4.15e+02
127,3.00e+02
120,3.00e+02
120,3.00e+02
129,2.66e+02
112,1.80e+02
126,2.86e+02
122,3.29e+02
138,4.00e+02
131,3.97e+02
119,2.73e+02
153,3.88e+02
136,3.00e+02
129,2.98e+02
139,3.98e+02
136,3.80e+02
146,6.43e+02
130,2.63e+02
151,4.86e+02
175,2.38e+02
146,4.51e+02
121,4.13e+02
144,3.05e+02
172,2.26e+02
152,3.21e+02
160,1.38e+03
137,1.03e+03
135,8.53e+02
141,3.41e+02
130,1.31e+02
130,8.00e+02
135,8.73e+02
130,8.16e+02
136,1.10e+02
143,1.50e+03
129,1.12e+03
153,3.88e+02
127,7.00e+02
127,9.53e+02
146,3.04e+02
125,5.63e+02
134,2.51e+02
141,3.00e+02
130,5.00e+02
131,1.73e+03
182,3.19e+02
169,3.44e+02
139,1.51e+02
130,5.00e+02
120,2.25e+02
170,3.00e+02
136,2.34e+02
157,1.00e+03
103,2.42e+02
107,5.03e+01
127,6.00e+02
137,
107,1.05e+02
100,5.05e+01
171,1.27e+02
168,2.29e+02
128,1.28e+02
168,2.44e+02
131,1.88e+02
124,6.04e+02
112,7.77e+01
110,5.00e+02
100,5.00e+02
100,5.00e+02
108,9.27e+01
128,1.24e+02
120,8.00e+02
120,8.62e+01
120,5.00e+02
184,1.86e+03
124,3.25e+02
124,2.75e+02
139,1.24e+02
120,2.25e+02
131,3.68e+02
151,3.52e+02
141,4.43e+02
122,2.77e+02
125,
124,3.33e+02
137,1.94e+02
120,1.01e+02
169,3.37e+02
127,3.45e+02
151,3.68e+02
122,2.71e+02
124,2.75e+02
127,3.82e+02
125,4.66e+02
151,3.84e+02
134,3.42e+02
138,3.58e+02
133,3.35e+02
132,3.28e+02
136,3.39e+02
156,1.89e+02
143,3.18e+02
137,3.18e+02
138,3.08e+02
162,2.22e+02
135,3.90e+02
127,
120,2.50e+02
149,3.35e+02
170,4.70e+02
126,2.71e+02
136,4.00e+02
146,3.62e+02
127,1.85e+02
150,4.09e+02
134,3.43e+02
129,3.53e+02
138,3.74e+02
167,2.76e+02
128,3.28e+02
151,3.68e+02
131,2.70e+02
120,2.70e+02
150,3.83e+02
120,2.41e+02
120,2.50e+02
130,2.60e+02
130,2.70e+02
140,2.81e+02
140,2.91e+02
145,3.00e+02
145,3.10e+02
150,3.20e+02
150,3.30e+02
