Time MixedMass1 MixedMass2 MixedMass3   
0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
9.980016e-02 2.487785e-02 0.000000e+00 2.487785e-02 
1.999556e-01 3.022669e-02 3.916059e-02 5.069916e-02 
2.996810e-01 3.942418e-02 8.313487e-01 6.936021e-01 
3.999160e-01 5.687030e-02 1.259453e+00 1.030902e+00 
4.997105e-01 8.797703e-02 1.561329e+00 1.295701e+00 
5.997653e-01 1.210283e-01 1.763237e+00 1.489608e+00 
6.999839e-01 1.530574e-01 1.920401e+00 1.642500e+00 
7.998617e-01 1.857280e-01 2.035199e+00 1.772680e+00 
8.998577e-01 2.173947e-01 2.113876e+00 1.868776e+00 
9.998068e-01 2.504698e-01 2.176972e+00 1.956076e+00 
1.099872e+00 2.844498e-01 2.235425e+00 2.032441e+00 
1.199948e+00 3.134683e-01 2.270329e+00 2.092935e+00 
1.299926e+00 3.429351e-01 2.295864e+00 2.146457e+00 
1.399905e+00 3.743864e-01 2.326673e+00 2.257418e+00 
1.499916e+00 3.994566e-01 2.358914e+00 2.293227e+00 
1.599893e+00 4.198323e-01 2.402494e+00 2.333489e+00 
1.699951e+00 4.370521e-01 2.441790e+00 2.377536e+00 
1.799934e+00 4.546981e-01 2.415346e+00 2.414541e+00 
1.899910e+00 4.744078e-01 2.441249e+00 2.467799e+00 
1.999953e+00 4.895011e-01 2.448895e+00 2.525150e+00 
2.099911e+00 5.049867e-01 2.483803e+00 2.567230e+00 
2.199890e+00 5.200472e-01 2.513377e+00 2.591384e+00 
2.299931e+00 5.311101e-01 2.550948e+00 2.602753e+00 
2.399924e+00 5.414884e-01 2.596247e+00 2.611566e+00 
2.499999e+00 5.500205e-01 2.731344e+00 2.647505e+00 
2.599998e+00 5.584410e-01 2.870406e+00 2.802634e+00 
2.699871e+00 5.709637e-01 2.938936e+00 2.856556e+00 
2.799929e+00 5.849988e-01 2.986870e+00 2.883543e+00 
2.899973e+00 5.967001e-01 3.010494e+00 2.892369e+00 
2.999907e+00 6.091577e-01 3.009838e+00 2.902692e+00 
3.099908e+00 6.138094e-01 3.008688e+00 2.911574e+00 
