Time,Av. Velocity,RMS Velocity,Av. Velocity Dispersion,RMS Mach Number
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
5.61477e+10,1.48676e+05,1.66038e+05,7.39194e+04,1.66038e-01
1.20263e+11,2.97210e+05,3.32926e+05,1.50021e+05,3.32926e-01
1.84228e+11,4.16565e+05,4.69281e+05,2.16098e+05,4.69281e-01
2.42085e+11,5.00672e+05,5.68136e+05,2.68526e+05,5.68136e-01
3.04692e+11,5.72592e+05,6.59624e+05,3.27479e+05,6.59624e-01
3.69705e+11,6.50294e+05,7.60224e+05,3.93774e+05,7.60224e-01
4.31680e+11,7.33849e+05,8.65766e+05,4.59366e+05,8.65766e-01
4.93472e+11,8.15622e+05,9.67944e+05,5.21226e+05,9.67944e-01
5.54914e+11,8.92283e+05,1.06158e+06,5.75129e+05,1.06158e+00
6.15830e+11,9.61331e+05,1.14395e+06,6.20060e+05,1.14395e+00
6.78044e+11,1.01930e+06,1.21264e+06,6.56897e+05,1.21264e+00
7.39748e+11,1.06814e+06,1.27122e+06,6.89271e+05,1.27122e+00
8.02078e+11,1.11180e+06,1.32377e+06,7.18516e+05,1.32377e+00
8.63901e+11,1.15165e+06,1.36818e+06,7.38673e+05,1.36818e+00
9.25218e+11,1.18658e+06,1.40560e+06,7.53488e+05,1.40560e+00
9.86731e+11,1.21432e+06,1.43385e+06,7.62480e+05,1.43385e+00
1.04893e+12,1.23215e+06,1.44893e+06,7.62366e+05,1.44893e+00
1.11061e+12,1.25286e+06,1.46944e+06,7.67851e+05,1.46944e+00
1.17226e+12,1.27313e+06,1.49172e+06,7.77419e+05,1.49172e+00
1.23403e+12,1.29407e+06,1.51458e+06,7.86974e+05,1.51458e+00
1.29562e+12,1.30815e+06,1.53211e+06,7.97571e+05,1.53211e+00
1.35702e+12,1.32100e+06,1.54753e+06,8.06109e+05,1.54753e+00
1.41876e+12,1.33405e+06,1.56504e+06,8.18339e+05,1.56504e+00
1.48073e+12,1.35280e+06,1.58699e+06,8.29744e+05,1.58699e+00
1.54295e+12,1.38088e+06,1.61620e+06,8.39805e+05,1.61620e+00
1.60444e+12,1.40155e+06,1.64103e+06,8.53597e+05,1.64103e+00
1.66563e+12,1.41602e+06,1.66058e+06,8.67432e+05,1.66058e+00
1.72774e+12,1.43155e+06,1.67452e+06,8.68723e+05,1.67452e+00
1.78972e+12,1.44504e+06,1.68453e+06,8.65747e+05,1.68453e+00
1.85128e+12,1.45447e+06,1.69427e+06,8.68946e+05,1.69427e+00
1.91322e+12,1.45728e+06,1.69011e+06,8.56036e+05,1.69011e+00
1.97496e+12,1.45175e+06,1.68059e+06,8.46643e+05,1.68059e+00
2.03610e+12,1.44508e+06,1.66877e+06,8.34593e+05,1.66877e+00
2.09799e+12,1.43875e+06,1.65814e+06,8.24284e+05,1.65814e+00
2.15994e+12,1.43688e+06,1.65731e+06,8.25861e+05,1.65731e+00
2.22124e+12,1.43672e+06,1.65873e+06,8.28997e+05,1.65873e+00
2.28332e+12,1.43510e+06,1.65549e+06,8.25306e+05,1.65549e+00
2.34497e+12,1.43880e+06,1.66096e+06,8.29829e+05,1.66096e+00
2.40701e+12,1.45069e+06,1.67357e+06,8.34458e+05,1.67357e+00
2.46816e+12,1.45725e+06,1.68344e+06,8.42851e+05,1.68344e+00
2.53007e+12,1.45838e+06,1.68803e+06,8.50055e+05,1.68803e+00
2.59207e+12,1.46402e+06,1.69372e+06,8.51680e+05,1.69372e+00
2.65344e+12,1.47204e+06,1.69968e+06,8.49710e+05,1.69968e+00
2.71509e+12,1.47614e+06,1.70843e+06,8.60075e+05,1.70843e+00
2.77701e+12,1.49204e+06,1.72231e+06,8.60339e+05,1.72231e+00
2.83868e+12,1.50673e+06,1.73293e+06,8.56046e+05,1.73293e+00
2.90069e+12,1.51669e+06,1.74728e+06,8.67549e+05,1.74728e+00
2.96229e+12,1.52973e+06,1.76410e+06,8.78621e+05,1.76410e+00
3.02405e+12,1.54268e+06,1.77953e+06,8.87053e+05,1.77953e+00
3.08599e+12,1.54112e+06,1.77639e+06,8.83470e+05,1.77639e+00
3.14731e+12,1.53495e+06,1.76663e+06,8.74600e+05,1.76663e+00
3.20931e+12,1.51686e+06,1.74454e+06,8.61721e+05,1.74454e+00
3.27058e+12,1.50397e+06,1.72892e+06,8.52791e+05,1.72892e+00
3.33282e+12,1.50266e+06,1.72834e+06,8.53913e+05,1.72834e+00
3.39415e+12,1.50270e+06,1.72762e+06,8.52393e+05,1.72762e+00
3.45591e+12,1.51446e+06,1.73568e+06,8.47929e+05,1.73568e+00
3.51796e+12,1.52518e+06,1.74412e+06,8.46024e+05,1.74412e+00
3.57945e+12,1.53502e+06,1.75300e+06,8.46597e+05,1.75300e+00
3.64103e+12,1.52231e+06,1.73839e+06,8.39381e+05,1.73839e+00
3.70303e+12,1.50741e+06,1.72184e+06,8.32133e+05,1.72184e+00
3.76489e+12,1.50091e+06,1.70762e+06,8.14398e+05,1.70762e+00
3.82646e+12,1.48106e+06,1.68791e+06,8.09639e+05,1.68791e+00
3.88813e+12,1.47065e+06,1.67926e+06,8.10619e+05,1.67926e+00
3.94979e+12,1.46844e+06,1.67733e+06,8.10648e+05,1.67733e+00
4.01135e+12,1.45376e+06,1.66734e+06,8.16447e+05,1.66734e+00
4.07333e+12,1.45102e+06,1.66608e+06,8.18742e+05,1.66608e+00
4.13504e+12,1.45293e+06,1.67273e+06,8.28864e+05,1.67273e+00
4.19652e+12,1.45539e+06,1.67902e+06,8.37224e+05,1.67902e+00
4.25866e+12,1.46123e+06,1.69107e+06,8.51190e+05,1.69107e+00
4.31974e+12,1.47336e+06,1.69931e+06,8.46678e+05,1.69931e+00
4.38188e+12,1.47240e+06,1.69394e+06,8.37548e+05,1.69394e+00
4.44378e+12,1.47639e+06,1.69379e+06,8.30187e+05,1.69379e+00
4.50488e+12,1.47154e+06,1.68191e+06,8.14492e+05,1.68191e+00
4.56645e+12,1.46801e+06,1.67383e+06,8.04143e+05,1.67383e+00
4.62823e+12,1.46850e+06,1.67687e+06,8.09566e+05,1.67687e+00
4.68995e+12,1.46390e+06,1.67460e+06,8.13188e+05,1.67460e+00
4.75208e+12,1.45427e+06,1.66606e+06,8.12928e+05,1.66606e+00
4.81354e+12,1.45067e+06,1.66640e+06,8.20030e+05,1.66640e+00
4.87564e+12,1.45910e+06,1.67195e+06,8.16351e+05,1.67195e+00
4.93745e+12,1.46953e+06,1.68220e+06,8.18704e+05,1.68220e+00
4.99874e+12,1.47992e+06,1.69441e+06,8.25146e+05,1.69441e+00
5.06030e+12,1.49487e+06,1.71595e+06,8.42535e+05,1.71595e+00
5.12224e+12,1.51212e+06,1.73735e+06,8.55504e+05,1.73735e+00
5.18372e+12,1.52770e+06,1.75372e+06,8.61202e+05,1.75372e+00
5.24594e+12,1.53564e+06,1.76133e+06,8.62619e+05,1.76133e+00
5.30764e+12,1.52650e+06,1.75277e+06,8.61398e+05,1.75277e+00
5.36936e+12,1.51954e+06,1.74117e+06,8.50110e+05,1.74117e+00
5.43120e+12,1.52301e+06,1.74074e+06,8.42975e+05,1.74074e+00
5.49285e+12,1.53106e+06,1.74135e+06,8.29541e+05,1.74135e+00
5.55455e+12,1.53277e+06,1.73949e+06,8.22448e+05,1.73949e+00
5.61608e+12,1.53750e+06,1.74244e+06,8.19879e+05,1.74244e+00
5.67805e+12,1.53886e+06,1.74838e+06,8.29900e+05,1.74838e+00
5.73980e+12,1.54121e+06,1.75418e+06,8.37734e+05,1.75418e+00
